wl,W2.P,W4.P,W10.P,W12.P,W16.P,W26.P,Y16.P,Y19.P,Y27.P
611.131165,26.929087,17.191416,22.50902,29.205396,29.09694233,36.277116,35.728912,31.47755433,17.589019
611.47052,26.88352867,17.16879967,22.54071933,29.22908033,29.07501933,36.26263933,35.723287,31.45448267,17.599488
611.809753,26.894742,17.14818167,22.58570167,29.216306,29.02652167,36.26793267,35.780487,31.48337033,17.59988533
612.149109,26.88188233,17.162975,22.664144,29.28204667,28.95871533,36.31587267,35.82371133,31.55506467,17.57276133
612.488403,26.82888667,17.21243,22.68771167,29.34068933,28.97895167,36.33927067,35.82965733,31.55099967,17.62624133
612.827515,26.83853867,17.24410933,22.763938,29.395628,29.01892733,36.326102,35.81307967,31.60736033,17.60814133
613.166626,26.864093,17.18207833,22.80905667,29.396235,29.059956,36.390645,35.86700667,31.65903333,17.54491033
613.505737,26.948836,17.217888,22.805368,29.461371,29.068605,36.47362267,35.83354567,31.673269,17.61548433
613.844849,26.99600233,17.175275,22.78793667,29.523435,29.07681067,36.53388433,35.89270133,31.705529,17.69010567
614.183838,27.028081,17.20595533,22.844019,29.47323233,29.157376,36.532546,35.971526,31.73464633,17.68865567
614.522766,27.09419033,17.218869,22.84502533,29.559959,29.243097,36.50177433,36.01346067,31.703593,17.713361
614.861694,27.13511067,17.296582,22.87272133,29.592644,29.34971,36.50057067,36.09945533,31.70432567,17.744008
615.200623,27.16624667,17.298044,22.85705833,29.68425033,29.34713967,36.59618433,36.21650567,31.75487767,17.75161867
615.539429,27.20784033,17.33173133,22.896321,29.68916967,29.358275,36.66432933,36.291556,31.77331367,17.78829467
615.878174,27.232808,17.34527067,22.92889667,29.69681033,29.381618,36.74145833,36.35557433,31.803044,17.806805
616.21698,27.27390467,17.419926,22.95086533,29.67927667,29.43769967,36.76304333,36.38040667,31.777024,17.834235
616.555664,27.27390967,17.439315,22.96745033,29.73566567,29.42045533,36.762132,36.43646733,31.84203367,17.817504
616.894287,27.34973933,17.513553,23.01913533,29.81259467,29.436126,36.80196633,36.34806567,31.867515,17.80509767
