wl,NpBW1.WY,NpBW2.WY,NpBW3.WY,NpSY1.WY,NpSY2.Y
329.263885,39.35553167,11.57724,8.812298667,22.80652333,10.19608267
329.63269,39.26844733,11.589057,8.865345,22.81998767,10.16596767
330.001495,39.05367067,11.714991,8.998887333,22.76360733,10.17979333
330.37027,39.04743233,11.771413,9.138783333,22.76849233,10.220385
330.738983,38.98961033,11.88585967,9.163409333,22.764323,10.245567
331.107697,39.019753,11.90776067,9.325294,22.858296,10.27594267
331.476379,39.07575033,12.08463633,9.362691,22.93931033,10.28199933
331.845032,39.073138,12.21020133,9.362609,22.98846,10.34430033
332.213654,39.17398267,12.26526633,9.370417667,22.991066,10.30791533
332.582245,39.193758,12.33853733,9.507468667,23.067814,10.22976733
332.950806,39.22884833,12.37150533,9.483800667,23.14362033,10.14906767
333.319305,39.242917,12.347027,9.542106333,23.16718867,10.188667
333.687775,39.32679467,12.31540933,9.563881,23.08614333,10.11961667
334.056244,39.37855067,12.29208433,9.586001667,23.032104,10.12626533
334.424683,39.37060867,12.299395,9.611388667,22.94309733,10.130474
334.793091,39.28405067,12.33547367,9.657317667,22.855522,10.12292467
335.161499,39.26330033,12.35488333,9.699508667,22.74414033,10.08064633
335.529785,39.22247567,12.392999,9.801848333,22.74856067,10.08167867
335.898132,39.14826167,12.46692467,9.782172333,22.75709467,10.15056467
336.266388,39.034856,12.43064067,9.782206667,22.77765333,10.21336833
336.634613,39.14029767,12.49378933,9.842317,22.80334767,10.31260333
337.002838,39.105279,12.452532,9.813663667,22.76295833,10.320859
337.371033,39.16436067,12.478492,9.804247,22.79116267,10.30575933
337.739197,39.25456567,12.406629,9.714203667,22.86342133,10.240248
338.10733,39.25971933,12.46452,9.68487,22.924629,10.18499067
338.475433,39.26482067,12.40909733,9.671557333,22.88172767,10.191862
338.843475,39.19727067,12.352473,9.538873667,22.86585567,10.195831
339.211517,39.172762,12.22504533,9.492128,22.80154,10.29954133
339.579498,39.087688,12.13611667,9.459407667,22.75831733,10.299968
339.947449,39.03850467,12.15287567,9.425983667,22.748347,10.27486267
340.31543,38.97139433,12.16661033,9.306268333,22.75414667,10.234231
340.683289,38.91420933,12.163313,9.251065,22.73450467,10.24543667
341.051208,38.82761067,12.186767,9.223999,22.72261767,10.18259567
341.419067,38.73960033,12.20459,9.211629333,22.72488933,10.19750367
341.786865,38.59812433,12.271182,9.177409,22.70540867,10.18590133
342.154663,38.56683133,12.363745,9.260043667,22.700508,10.23352567
342.522369,38.52070667,12.274639,9.249945667,22.85926533,10.221915
342.890076,38.477243,12.312046,9.180974,22.96388067,10.20726133
343.257813,38.431888,12.284424,9.120366667,23.00343433,10.13153667
343.625458,38.47098333,12.244279,9.191977,22.90135333,9.993111333
343.993134,38.583101,12.236245,9.173390667,22.838595,9.865583667
344.360718,38.572521,12.24419,9.115287667,22.79823433,9.895260667
344.728271,38.56220167,12.295286,9.133390667,22.72767,9.854934333
345.095795,38.58454867,12.376821,9.227847,22.659888,9.862154333
345.463287,38.60605133,12.34669033,9.284361,22.60734367,9.900032333
345.83075,38.51633233,12.34591467,9.309877,22.51052533,9.921092667
346.198212,38.59658733,12.436528,9.357486667,22.49083333,9.869178667
346.565613,38.58144767,12.46419833,9.456232333,22.419994,9.917729
346.933014,38.56650367,12.54411767,9.418736333,22.38487233,9.839326333
347.300354,38.64006367,12.62304533,9.548836,22.35709433,9.783768
347.667694,38.63874833,12.657843,9.638107667,22.30941667,9.839217333
348.034973,38.65097433,12.612989,9.672844333,22.24203333,9.860166
348.402222,38.6432,12.60524867,9.665387,22.21419367,9.887002667
348.769409,38.707925,12.57885133,9.618612667,22.246406,9.900017
349.136627,38.71986633,12.56679467,9.668816,22.216829,9.864283333
