wl,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W
347.667694,75.45471967,60.24394967,17.394434,54.29716733,46.131879,70.35377767,7.241195667,86.53369133,45.18155033,84.00146233
348.034973,75.556814,60.37689233,17.454395,54.322629,46.23168833,70.25833633,7.211690333,86.782809,45.581093,84.028501
348.402222,75.64225267,60.30869533,17.51854967,54.262839,46.24364867,70.26480633,7.242613333,86.89476267,45.83151733,83.88273133
348.769409,75.68524933,60.359849,17.64385967,54.19172267,46.30461767,70.44535567,7.202008,87.004031,46.346012,83.76160167
349.136627,75.735639,60.43822833,17.67998033,54.26568733,46.35047267,70.60403733,7.172444667,87.13087433,46.76579567,83.76555133
349.503784,75.635371,60.56547667,17.61569967,54.43356467,46.369326,70.583857,7.129905667,87.16262033,47.230305,83.85204833
349.870911,75.71746033,60.555256,17.61675133,54.65381633,46.33211667,70.617152,7.126154333,87.2702,47.69786567,83.81855267
350.238007,75.88799267,60.53397633,17.70760133,54.731247,46.32212933,70.484375,7.187819667,87.32077533,48.21719133,83.86211667
350.605072,76.064458,60.62941133,17.73533667,54.86615967,46.26734567,70.64520033,7.241678,87.154485,48.67007333,83.75585667
350.972107,76.148,60.810328,17.70897733,54.98767867,46.19049567,70.824224,7.327403667,87.32327,49.235568,83.731641
351.339111,76.18091833,60.801234,17.71567867,54.980536,46.228283,70.66410567,7.425425333,87.352099,49.53435633,83.874822
351.706085,76.196139,60.902364,17.71326233,55.15870933,46.24401367,70.73338833,7.521983333,87.138031,50.024176,84.06007633
352.073029,76.13138833,61.00578033,17.75275833,55.30816,46.31215633,70.77401,7.536189333,87.150347,50.549722,84.06784067
352.439972,76.263227,60.94550433,17.773762,55.47414933,46.37237033,70.78548933,7.597665,87.174464,51.14193467,84.14187367
352.806824,76.362991,60.92733367,17.73744467,55.558473,46.501049,70.73565933,7.539670333,87.093216,51.831491,84.26445233
353.173676,76.635699,60.96758767,17.75396833,55.53520433,46.57562533,70.79171233,7.522052333,87.038752,52.37184767,84.325574
353.540466,76.63328533,61.08636333,17.78189467,55.60173933,46.653805,70.67310567,7.489049,87.18889367,52.959793,84.22946933
353.907257,76.62176233,61.08904267,17.80860433,55.68573267,46.68942133,70.561582,7.476501333,87.21934,53.65578833,84.38455467
354.273987,76.50172667,61.155024,17.79030933,55.638976,46.77712767,70.640485,7.408790667,87.25105267,54.21184933,84.579366
354.640747,76.624667,61.189261,17.775477,55.79138667,46.81405667,70.53922533,7.391489667,87.07001233,54.67300667,84.66141267
355.007446,76.469409,61.17184567,17.754944,55.939518,46.87099567,70.613233,7.407676333,87.10752367,55.17455167,84.56230167
355.374115,76.484894,61.28836933,17.75272633,55.927484,46.85290267,70.649661,7.332333667,87.03042367,55.56524533,84.554502
355.740723,76.42456833,61.304011,17.744528,55.91487,46.80392167,70.75708233,7.347732667,87.076688,55.97578567,84.607338
356.1073,76.411341,61.46963633,17.746971,56.036377,46.795555,70.72350567,7.315294667,87.02356967,56.46944567,84.724851
356.473846,76.473783,61.45084267,17.67119367,56.17318867,46.75553133,70.60923,7.392410333,87.00201667,56.93907667,84.744771
356.840393,76.488014,61.50478,17.613449,56.240382,46.77225367,70.623446,7.469496667,86.88911467,57.58067933,84.672961
357.206879,76.52756533,61.445393,17.666499,56.266328,46.84296167,70.65877267,7.518433,87.02242533,58.236385,84.60332733
357.573364,76.42316967,61.55852,17.731204,56.334806,46.82552467,70.635778,7.477315,87.07883967,58.84869267,84.686572
357.939789,76.46070133,61.56104667,17.71349033,56.38124467,46.83422567,70.73946133,7.433931,87.15649133,59.48521167,84.727374
358.306213,76.20193733,61.570811,17.72670567,56.481214,46.75580467,70.62920133,7.398515667,87.26523567,60.18011967,84.86182933
358.672577,76.14566533,61.45745333,17.716455,56.51314167,46.79449333,70.385905,7.396764667,87.18758133,60.74765133,84.90792067
359.03891,76.09452033,61.48525467,17.75086233,56.62483733,46.844078,70.43753833,7.367132333,87.23026267,61.34815333,84.75413033
359.405212,76.168068,61.58916433,17.780438,56.637885,46.83517733,70.35689033,7.374970333,87.382314,61.82462033,84.56223067
359.771484,76.21093733,61.492513,17.76782567,56.64497367,46.86631767,70.31865433,7.324207667,87.38702667,62.26822533,84.520739
360.137695,76.191986,61.51257333,17.776921,56.63314167,46.84130467,70.287567,7.319937667,87.275584,62.67651467,84.46242
360.503937,76.159846,61.460884,17.86825133,56.67030567,46.75588467,70.25889333,7.427805333,87.23206867,63.02514767,84.34874733
360.870148,76.06847633,61.424121,17.894408,56.81026567,46.70187467,70.29176567,7.496359,87.33981833,63.41061667,84.34125267
361.236298,76.06809267,61.33314,17.91691433,56.84674167,46.71532567,70.31371333,7.547078333,87.25651767,63.79999167,84.47327933
361.602417,76.11912033,61.455991,17.941301,56.90907167,46.713618,70.45170067,7.608626333,87.33516933,64.38155767,84.32868933
361.968475,76.35098533,61.50854,18.01575367,57.060018,46.77671433,70.44417333,7.691215,87.46863067,64.87965267,84.234596
362.334503,76.24893933,61.55545567,18.05630933,57.03398267,46.77772033,70.52316267,7.709008667,87.700396,65.442215,84.18952433
362.700562,76.41568533,61.59959933,18.08996267,57.08803067,46.825503,70.51051333,7.746967,87.68371067,65.978017,84.21496567
363.066528,76.466616,61.597885,18.10352433,57.19260167,46.86658467,70.37944567,7.804925333,87.65766633,66.64902367,84.159307
363.432526,76.49823733,61.61961633,18.15148867,57.33020267,46.89062267,70.32925667,7.879154,87.66077167,67.271422,83.97919733
363.798431,76.46599833,61.56567133,18.14762033,57.39924233,46.92378367,70.30457833,7.952402667,87.700798,67.80370967,83.90547933
364.164337,76.491806,61.65188967,18.21958667,57.44429133,46.98585133,70.30816667,7.981705333,87.662483,68.36676933,83.71260567
364.530182,76.40403733,61.65016833,18.33067267,57.518626,47.02519633,70.226247,8.033723667,87.833097,68.84185267,83.73804233
364.895996,76.503624,61.69669233,18.41998767,57.67331667,47.01112967,70.24884533,8.055518667,87.71114867,69.28006233,83.70450833
365.26181,76.66033167,61.71074933,18.42264467,57.61823767,47.13602067,70.26184867,8.187079333,87.733602,69.81124767,83.61267067
365.627563,76.66081233,61.84576167,18.49988233,57.71098467,47.19150033,70.20803333,8.247873333,87.709755,70.41711933,83.528033
