wl,W1,W2,W3,W4,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27,Y1,Y2,Y3,Y4,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
520.760803,53.959582,30.933565,43.00946933,40.59981,26.907607,36.392207,34.33560867,29.01364567,27.877995,23.55238467,42.00798933,42.85289367,32.61677,27.61203267,38.47871533,33.662677,45.90071967,44.54175033,49.53014367,28.53059,42.788868,54.40787367,29.755621,22.39376067,41.70522933,25.380155,33.802133,33.76055467,23.17866333,26.55528033,29.58095467,27.71689467,29.72456933,32.29920933,52.39531333,43.764005,42.591367,48.36245733,40.64196767,34.43195733,48.85188133,21.04611833,30.19053067,39.63459967,28.10687767
521.111023,54.01828267,30.972944,43.07153433,40.65304033,26.99380167,36.44543967,34.38221367,29.10326367,27.98133867,23.591235,42.20481233,42.91964233,32.60985767,27.62134233,38.496198,33.73295167,45.97265267,44.57264467,49.58517233,28.55943167,42.883307,54.46477667,29.768456,22.40658567,41.79086567,25.43932533,33.82286433,33.83925,23.24767533,26.61980867,29.679027,27.72657667,29.73651267,32.388489,52.465192,43.81889967,42.70291033,48.52679067,40.68005867,34.500493,48.95941933,21.10078233,30.27386667,39.77554133,28.15530467
521.461182,54.07976567,31.01546033,43.07938667,40.72439833,27.06960567,36.497481,34.407376,29.126252,28.075547,23.66015233,42.39733867,42.97542567,32.61614433,27.65889,38.54847967,33.72753267,46.04458,44.643233,49.709789,28.578726,42.94193,54.52975733,29.796653,22.439996,41.88748133,25.50426667,33.841624,33.88331933,23.27336067,26.68818367,29.74386467,27.74398267,29.76578967,32.48027667,52.553392,43.90143067,42.796552,48.73036467,40.79543567,34.623262,49.10878767,21.17069967,30.333957,39.90006567,28.215894
521.81134,54.17413333,31.05116333,43.053721,40.824285,27.138761,36.532131,34.496661,29.18320533,28.161365,23.754966,42.637249,43.106185,32.59027867,27.68430133,38.612025,33.75293033,46.095923,44.69794867,49.83681867,28.59309833,43.039739,54.59733567,29.84355567,22.517053,42.03033067,25.582048,33.92634567,33.979707,23.33494433,26.77380633,29.85059233,27.73837867,29.81965767,32.57109967,52.67040133,43.957733,42.870608,48.89409367,40.87057367,34.75595633,49.16250767,21.212597,30.41701467,39.98550733,28.292186
522.161499,54.244747,31.091224,43.084085,40.93267033,27.190986,36.59323767,34.52624733,29.221013,28.257769,23.84183333,42.91512567,43.15334067,32.62640767,27.73025467,38.669031,33.742489,46.20648067,44.76811067,49.93055333,28.64340733,43.10876967,54.65625533,29.886597,22.549924,42.19399,25.614233,33.98764067,34.019384,23.38076833,26.822576,29.96145633,27.737013,29.855191,32.714008,52.78695933,44.00910967,42.996503,49.16166167,40.99250533,34.85105867,49.275299,21.29577933,30.48847767,40.10324867,28.37335067
522.511658,54.32697167,31.11005733,43.08149467,41.01835133,27.24949267,36.64406867,34.560554,29.25752533,28.38138567,23.938907,43.17010133,43.26701233,32.60263133,27.77081633,38.72323267,33.76940033,46.335734,44.806843,50.03058767,28.67014833,43.20951467,54.74233667,29.91604133,22.581799,42.32298133,25.66207633,34.05271167,34.09563033,23.46094833,26.94320033,30.10180767,27.7742,29.86754533,32.806409,52.929264,44.03704833,43.15880467,49.41373467,41.06802633,34.956427,49.41232533,21.36260233,30.567443,40.289125,28.39665233
522.861694,54.36927933,31.16462367,43.12929033,41.16107067,27.26568067,36.68004333,34.623197,29.29659833,28.518635,24.01018467,43.384782,43.34651067,32.61645567,27.79226267,38.75409133,33.824807,46.45226267,44.86871333,50.187561,28.694003,43.26667033,54.81750367,29.987523,22.65209333,42.41160467,25.685925,34.13609567,34.15354733,23.476584,27.015376,30.21639367,27.81168667,29.90091567,32.95389333,53.120963,44.10597233,43.294637,49.61224133,41.16923267,35.09809567,49.57650233,21.486496,30.65250133,40.44486133,28.438727
523.211731,54.40495067,31.16770233,43.169642,41.209478,27.34946933,36.69984567,34.71488267,29.31513733,28.68742533,24.06508433,43.61930467,43.41891967,32.63521433,27.84391667,38.842853,33.83945133,46.534523,44.95570633,50.29381567,28.747099,43.32316967,54.887754,30.00733567,22.67989033,42.489881,25.759478,34.17182167,34.24372233,23.52864467,27.08827267,30.297385,27.80587767,29.95193367,33.08744567,53.28356167,44.13457867,43.382145,49.77926133,41.26489767,35.20282867,49.70392633,21.546732,30.69397667,40.607253,28.48403967
523.561707,54.43539433,31.210509,43.19370233,41.31164967,27.413126,36.78638467,34.76162533,29.355157,28.860389,24.12556233,43.92701333,43.498451,32.630867,27.85385767,38.92173767,33.83929,46.607464,45.04189167,50.33640933,28.77009033,43.347515,55.033961,30.05341667,22.74141533,42.5729,25.78763067,34.17358,34.35282633,23.564626,27.16954967,30.41110067,27.848147,29.98586833,33.16784467,53.36723967,44.24233033,43.532097,49.96234,41.37824267,35.30849533,49.815455,21.60062867,30.81225033,40.701238,28.53555367
523.911621,54.51059967,31.2651,43.241136,41.364644,27.52739167,36.82640567,34.82004767,29.39382267,28.993551,24.13996733,44.158324,43.54305933,32.64446533,27.93375267,39.00495433,33.822712,46.64283,45.11952067,50.42732967,28.77986067,43.39547467,55.12007533,30.111694,22.764734,42.69874967,25.854349,34.18329467,34.39309333,23.60391633,27.19134067,30.492068,27.88834167,30.00865567,33.293707,53.469311,44.26637267,43.65615233,50.130166,41.47250233,35.442385,49.96118033,21.69223667,30.910318,40.883311,28.56795867
