wl,EtBW7.W,EtBW19.W
419.037048,58.13310233,51.49682333
419.397858,58.151838,51.48373167
419.758636,58.08842467,51.44801733
420.119415,58.009379,51.40259033
420.480103,57.925205,51.409392
420.840851,57.888457,51.39368667
421.201477,57.864212,51.376059
421.562134,57.779189,51.360138
421.922729,57.74092,51.332484
422.283264,57.70875167,51.26453667
422.643799,57.72480633,51.308169
423.004242,57.67884567,51.25910167
423.364685,57.722342,51.28774767
423.725128,57.73845433,51.23261767
424.08551,57.771595,51.27389
424.445892,57.83052833,51.385891
424.806183,57.93907167,51.32649467
425.166473,58.068011,51.35323733
425.526703,58.20199833,51.33935667
425.886902,58.29692967,51.36445867
426.24707,58.37553667,51.40637867
426.607208,58.49110667,51.446771
426.967316,58.573995,51.550606
427.327393,58.65099967,51.58688367
427.687439,58.772737,51.67772533
428.047394,58.88202133,51.71587267
428.407379,58.952835,51.77325567
428.767303,59.06812667,51.82261267
429.127167,59.28358233,51.90657833
429.487061,59.37962367,51.95474
429.846863,59.50116867,51.99911867
430.206665,59.56330767,52.01290267
430.566437,59.63715633,52.04687867
430.926117,59.744935,52.12293367
431.285828,59.79074367,52.20529433
431.645447,59.80547733,52.244592
432.005035,59.84184267,52.32535933
432.364655,59.89494833,52.419413
432.724182,59.903416,52.41242467
433.08371,59.857833,52.45548133
433.443207,59.87784567,52.46354033
433.802582,59.90360633,52.497819
434.162018,59.91183333,52.48080167
434.521362,59.858097,52.36977867
434.880676,59.89866867,52.36837133
435.23999,59.83926,52.33844233
435.599243,59.857393,52.286485
435.958496,59.88178033,52.21199167
436.317657,59.86341967,52.19346867
436.676819,59.813103,52.203401
437.03595,59.856481,52.166153
437.39502,59.80703367,52.10981633
437.754059,59.75027433,52.07607767
438.113068,59.71037133,52.09492467
438.472046,59.62596367,52.054343
438.830994,59.61300233,52.07381433
439.189911,59.631658,51.97365967
439.548798,59.63632967,51.92253
439.907593,59.57173033,51.88005933
440.266388,59.467457,51.90473067
440.625122,59.44077933,51.946762
440.983856,59.39289333,51.94159433
441.342621,59.26050167,51.96824533
441.701263,59.23442967,51.894479
442.059875,59.250065,51.94503
442.418457,59.173842,51.91047667
442.777008,59.19782367,51.92001867
443.135498,59.13730133,51.886818
443.493958,59.123224,51.91186167
443.852448,59.07736333,51.933201
444.210876,59.09523133,51.921875
444.569214,59.03107067,51.893743
444.927551,59.045703,51.90557233
445.285858,59.068708,51.903815
445.644104,59.16439567,51.85858533
446.002319,59.18336367,51.85761
446.360504,59.18441533,51.79839933
446.718719,59.147742,51.86996333
447.076843,59.12066767,51.859581
447.434906,59.20055767,51.90038167
447.792938,59.26828133,51.898815
448.15094,59.20712667,51.844578
448.508911,59.226059,51.89234533
448.866852,59.255665,51.82667433
449.224731,59.268617,51.902681
449.582672,59.25594367,51.84486667
449.940491,59.22188933,51.876531
450.298279,59.22596367,51.882441
450.656067,59.244007,51.92363467
451.013733,59.24274967,51.93819567
451.371429,59.34705067,51.950115
451.729095,59.297268,51.936896
452.0867,59.45474667,52.005136
452.444336,59.46689467,52.050383
452.80188,59.540812,52.110967
453.159363,59.531863,52.22095867
453.516815,59.58797333,52.19882867
453.874237,59.637974,52.28868733
454.231628,59.665226,52.22071467
454.588989,59.69647333,52.177255
454.94632,59.65902067,52.16379933
455.30365,59.68159133,52.09006
455.660919,59.72888567,52.051547
456.018127,59.56717433,51.97429767
456.375305,59.50177533,51.92099767
456.732422,59.42804967,51.839531
457.089539,59.34714533,51.88713067
457.446594,59.34152967,51.89422833
457.80365,59.28348667,51.87519733
458.160706,59.260783,51.87837333
458.517639,59.24163567,51.84177267
458.874542,59.131208,51.79301733
459.231445,59.18974567,51.739315
459.588287,59.11926267,51.73835633
459.945099,59.089935,51.75782133
460.30188,59.08920533,51.72769033
460.6586,59.03588367,51.66029867
461.015381,59.025622,51.660048
461.37204,58.99714533,51.643482
461.728668,59.06208933,51.755581
462.085266,58.99318933,51.78887033
462.441803,58.94209,51.80212167
462.798309,58.925284,51.82736333
463.154816,58.97235633,51.87102367
463.511261,59.10442733,51.87075433
463.867706,59.165602,51.89714033
464.224091,59.13937767,51.985518
464.580444,59.199825,51.935818
464.936737,59.286163,51.94080733
465.292999,59.35556567,51.91759867
465.6492,59.42547733,51.99465033
466.005402,59.447216,51.98652367
466.361542,59.46165833,52.016473
466.717712,59.41856633,52.02479533
467.073792,59.49137,52.05558133
467.42984,59.52951833,52.07778267
467.785828,59.55526267,52.10854333
468.141815,59.53907267,52.19277967
468.497742,59.54794433,52.21362033
468.853638,59.460425,52.23289367
469.209503,59.38029733,52.18397633
469.565369,59.44602333,52.16514967
469.921143,59.371376,52.14219533
470.276886,59.33644733,52.202951
470.632599,59.31081667,52.17547867
470.988281,59.313123,52.188932
471.343933,59.36374533,52.20826467
471.699493,59.45341733,52.15742767
472.055054,59.427101,52.213399
472.410675,59.48262167,52.23387033
472.766144,59.51795433,52.246127
473.121582,59.48077633,52.09825867
473.47702,59.46178433,52.11285367
473.832397,59.46621833,52.070924
474.187714,59.39840067,52.093779
474.54303,59.32029333,52.04531233
474.898315,59.309273,52.00155233
475.253571,59.13419467,51.98773933
475.608765,59.11041133,51.90515767
475.963928,59.051838,51.89925
476.319,59.025075,51.858495
476.674103,58.99827067,51.791836
477.029144,58.93904367,51.78783167
477.384125,58.95937133,51.736422
477.739166,58.903001,51.68248233
478.094086,58.894329,51.71045667
478.448975,58.81473533,51.612203
478.803833,58.67721833,51.62075
479.158661,58.46788767,51.58843733
479.513458,58.36917,51.53679133
479.868164,58.164467,51.516923
480.22287,58.048931,51.676839
480.577606,58.087443,51.99083333
480.932251,58.12541333,52.15228
481.286835,58.07216267,52.16451133
481.641388,57.97557833,52.078701
481.995911,57.91720333,52.06272733
482.350403,57.82497633,52.04828
482.704834,57.79556033,52.018951
483.059204,57.76301067,51.986711
483.413666,57.67103567,51.94404467
483.767975,57.68360267,51.87632633
484.122284,57.608383,51.86288467
484.476532,57.53848667,51.78919967
484.83075,57.504827,51.76841233
485.184937,57.43432733,51.731728
485.539063,57.39140667,51.69448467
485.893158,57.344191,51.711623
486.247284,57.33697033,51.69719067
486.601318,57.35404433,51.67646
486.955322,57.358285,51.69236633
487.309265,57.370219,51.69420367
487.663177,57.297951,51.59135333
488.017059,57.13978967,51.408806
488.370911,57.005469,51.24876167
488.724701,56.92028167,51.23779567
489.078522,56.877878,51.25356933
489.432251,56.84302267,51.23256167
489.785919,56.80817533,51.21906
490.139587,56.83762733,51.20090233
490.493195,56.831537,51.22969167
490.846771,56.86504867,51.262325
491.200287,56.83363067,51.310501
491.553802,56.87616467,51.32819867
491.907318,56.901442,51.38311767
492.260742,56.88890567,51.407963
492.614105,56.92288367,51.431833
492.967468,56.92955767,51.43531
493.32077,56.99308267,51.42575933
493.674042,56.961964,51.44959533
494.027283,56.983288,51.44164167
494.380463,56.94723,51.38724267
494.733673,56.976639,51.346461
495.086792,57.06140367,51.35393133
495.43988,57.18297567,51.31649533
495.792938,57.235845,51.372547
496.145935,57.30550133,51.30933767
496.498871,57.43252933,51.27999133
496.851837,57.469149,51.29905233
497.204681,57.541485,51.27348433
497.557587,57.52071233,51.309255
497.910431,57.52036267,51.29796733
498.263184,57.52311067,51.23869833
