wl,W1,W2,W3,W4,W9,W10,W11,W12,W14,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27
617.23291,61.93331767,35.860495,47.676117,47.30655267,36.04284133,41.64485033,42.154536,33.39772867,29.39099567,57.100647,38.19895433,35.192967,46.893608,38.17821967,55.59485333,52.35925133,57.42187233,35.17831033,50.61507933,60.134738,35.27769067,28.00029367
617.571472,61.955672,35.88338367,47.69808467,47.33131533,36.13968133,41.70299667,42.22090433,33.33579067,29.39452367,57.16159533,38.207809,35.21267733,46.888597,38.06749033,55.61011367,52.38954033,57.54554867,35.21896233,50.61276633,60.14742533,35.287961,27.97685033
617.910034,61.932495,35.928181,47.810046,47.34656667,36.159227,41.79801433,42.17475533,33.27677567,29.43793533,57.314944,38.17126467,35.22172567,46.90429967,38.044673,55.52187333,52.355526,57.571907,35.194955,50.52957,60.15585567,35.26941067,28.01897267
618.248535,61.95489767,35.93577433,47.84014267,47.375941,36.339685,41.85857033,42.20251067,33.39027833,29.398508,57.33978267,38.16394267,35.23334133,46.961516,38.07630333,55.56479667,52.322342,57.657223,35.183485,50.58341867,60.248306,35.274518,28.12981833
618.586975,61.94523867,35.95208467,47.83238733,47.32190067,36.361818,41.83931233,42.21747067,33.333739,29.36353367,57.35553733,38.183669,35.20094833,46.933324,38.04005,55.61946333,52.455612,57.78888933,35.214511,50.62518033,60.17334733,35.32679867,28.18534767
618.925293,62.028112,35.97225333,47.80775567,47.37299233,36.38038367,41.88490533,42.184915,33.376693,29.36886733,57.40268967,38.20383567,35.16463367,46.970253,38.04022867,55.62983833,52.54337933,57.86627567,35.211874,50.738106,60.169464,35.377509,28.182216
619.263672,62.05093533,36.01310867,47.82554267,47.35877733,36.34264767,41.925639,42.257666,33.37215567,29.42086433,57.497462,38.23348867,35.22127467,46.914856,37.953337,55.643982,52.52978267,57.890611,35.193258,50.70105833,60.16174967,35.42286433,28.20560267
619.60199,61.996507,36.084156,47.917862,47.48157267,36.31877133,41.94016767,42.26403033,33.39212467,29.50796833,57.57649967,38.21158733,35.24947733,46.85557433,37.91311633,55.62205233,52.557452,57.92186733,35.16598333,50.671589,60.13989267,35.42001,28.19974133
619.940247,62.122589,36.10341267,47.88559633,47.56373333,36.350905,42.04634733,42.29382833,33.42673333,29.52710867,57.64313267,38.133682,35.31697,46.83751667,37.904493,55.535493,52.58396933,57.925092,35.17853233,50.701538,60.14326233,35.451738,28.18796167
620.278442,62.04559067,36.11391967,47.91991567,47.59052667,36.33394633,42.172783,42.337087,33.53747867,29.57683633,57.71136067,38.15968467,35.33863567,46.833532,37.84509967,55.61689633,52.58199433,57.97296633,35.180556,50.66907867,60.16282033,35.482334,28.260133
620.616638,62.048665,36.076101,47.93801233,47.62138,36.28400167,42.17882667,42.287819,33.44071233,29.65062533,57.91799533,38.20493567,35.29136567,46.870716,37.78529233,55.653951,52.600039,57.96641633,35.18060867,50.77473667,60.111656,35.487846,28.309403
620.954773,62.06232067,36.02117167,47.951149,47.67269133,36.22031267,42.231861,42.33665233,33.50075467,29.73733667,58.007753,38.175892,35.34457033,46.77861033,37.78163033,55.648567,52.62363433,58.00932333,35.16811233,50.812097,59.97180067,35.594121,28.28328767
621.292847,62.153979,36.03974033,47.93347267,47.64786567,36.24033733,42.23421633,42.30837633,33.495881,29.758587,57.998029,38.14625433,35.35274867,46.69962833,37.77028733,55.73924533,52.62934633,58.14243967,35.21487667,50.80283733,60.01050167,35.620106,28.242204
621.630859,62.22930867,36.133259,47.81550833,47.600282,36.33556233,42.16709767,42.293097,33.49877367,29.67727867,58.041907,38.21664067,35.35614733,46.72393033,37.78236067,55.68502433,52.638049,58.185668,35.19824367,50.85408767,59.93918,35.59305167,28.26732567
621.968872,62.20661167,36.13633967,47.88074,47.66737733,36.347164,42.21785333,42.314691,33.501059,29.63069467,58.103513,38.18920033,35.427083,46.74993,37.67740033,55.72925433,52.67660033,58.05428933,35.24454567,50.89249167,59.82500333,35.62023033,28.29956133
622.306763,62.161335,36.13277067,47.94422033,47.56940967,36.35738367,42.238238,42.21844367,33.477644,29.690806,58.12014267,38.148285,35.49170467,46.67399567,37.68565,55.75205467,52.78179933,58.11217133,35.36310667,50.94314067,59.84075833,35.66373967,28.345382
622.644653,62.07123333,36.14717367,47.97878767,47.57142267,36.33193467,42.34851167,42.175589,33.45493433,29.70008467,58.22606633,38.22273633,35.566248,46.561858,37.68281867,55.89757933,52.82995333,58.16449,35.44853,50.955026,59.79105233,35.65770233,28.30628733
622.982605,62.08209833,36.09917433,47.89902367,47.61534633,36.28079633,42.27113467,42.150786,33.43269667,29.63861967,58.24161667,38.093543,35.56741767,46.531601,37.663775,55.896675,52.859146,58.096161,35.37852567,51.10018633,59.74555467,35.62974167,28.340145
623.320435,62.16928733,36.07464967,47.83917733,47.57819133,36.32504267,42.30016167,42.175439,33.43833433,29.59218167,58.30994267,38.09338733,35.58761533,46.55141833,37.55983367,55.94075233,52.82660533,58.11056633,35.41711367,51.15517667,59.76286733,35.61941267,28.25212533
623.658203,62.25762933,36.136799,47.82526133,47.52874633,36.34256367,42.31454333,42.161124,33.446063,29.66167,58.442079,38.04576233,35.574069,46.59606433,37.549753,55.841474,52.766477,58.123239,35.46790667,51.18624633,59.70742533,35.62438467,28.17415967
