wl,Y1,Y2,Y3,Y4,Y5,Y6,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
322.619751,19.882001,10.05264467,13.903256,12.746355,10.772636,12.73804967,12.10477467,9.783982,11.83858733,11.961561,18.371462,11.36752167,17.17045367,18.91951,21.55302333,15.94534633,14.334892,12.036273,15.95223167,9.598079333,14.531671,17.91844667,13.76470033
322.989136,19.88158233,10.05781633,13.84779733,12.86462033,10.69094867,12.71281133,12.11487233,9.741456,11.755801,11.97368133,18.302487,11.431173,17.246007,18.900995,21.58526133,15.932655,14.319148,11.98354933,16.020531,9.564629667,14.477193,17.930093,13.73930433
323.35849,19.85173967,10.11334967,13.829243,12.82519733,10.677844,12.61751867,12.231843,9.741431667,11.74736733,11.94224633,18.29658467,11.28374633,17.374869,18.886574,21.55617133,15.85303233,14.29600667,12.12231767,16.02941733,9.521511667,14.47899633,17.86891733,13.74925733
323.727814,19.81326567,10.094434,13.88463233,12.764284,10.76420167,12.592728,12.299681,9.673957333,11.751962,11.903214,18.251376,11.25971067,17.456527,18.902181,21.55929433,15.86848833,14.22078333,12.14320467,16.08202667,9.544351333,14.47143933,17.84018933,13.78499867
324.097107,19.79188667,9.988595333,13.855343,12.754668,10.73129367,12.57311167,12.43070233,9.605107333,11.76850367,11.91672767,18.20132167,11.22304833,17.58334133,18.94832867,21.54693533,15.89978733,14.27689733,12.13109067,16.10262033,9.464055667,14.45562167,17.79108533,13.745231
324.466339,19.70916767,9.923693667,13.88911767,12.69825133,10.753178,12.57925667,12.304518,9.559412,11.70414967,11.87772133,18.086368,11.09640033,17.63383233,18.939945,21.59667533,15.899627,14.24448133,12.1463,16.09501,9.364352333,14.47562067,17.64384933,13.683624
324.835541,19.624096,9.959591,13.853977,12.69867433,10.77222233,12.546241,12.270874,9.551622667,11.62494367,11.76785367,17.98298933,11.17178133,17.57098633,18.93183067,21.54875167,15.857179,14.29059233,12.256375,16.15636833,9.356103,14.40609767,17.60638333,13.650229
325.204712,19.60171367,9.851975333,13.81112067,12.704956,10.75807067,12.43706067,12.21519433,9.550434,11.70254367,11.838886,17.97674633,11.103053,17.658147,18.90930867,21.53126733,15.89065833,14.213861,12.22712667,16.17016033,9.262009667,14.35358033,17.62528367,13.64296
325.573914,19.641103,9.851977,13.78649633,12.712412,10.78908567,12.39836933,12.21446367,9.475312667,11.65367333,11.84933633,17.92656,11.17371333,17.66209233,18.804778,21.63429833,15.90598733,14.21664133,12.24422467,16.16196733,9.226466667,14.263633,17.469299,13.65487167
325.943024,19.636868,9.81793,13.75790933,12.74595567,10.891677,12.42262433,12.10566633,9.440474667,11.634349,11.89585033,17.85910667,11.187841,17.67326433,18.922422,21.65177567,15.96865967,14.203596,12.27342567,16.22900933,9.270146333,14.268675,17.401067,13.68412033
