wl,W2.2.W.P,W4.2.W.P,W10.2.W.P,W12.2.W.P,W16.2.W.P,W18.2.W.P,W26.2.W.P
311.894928,123.2651443,99.62466433,14.80188667,77.830297,69.417163,57.938919,25.144195
312.265167,122.6790747,99.096822,14.62938767,77.566841,69.14041533,57.75010433,24.92625867
312.635345,122.582306,98.70040633,14.48228033,77.40649667,69.04472467,57.56874733,24.66716467
313.005524,122.3330817,98.44026933,14.41915667,77.23585233,69.05002367,57.47806133,24.49101367
313.375671,122.181193,98.12931567,14.39588867,77.20117933,68.80782567,57.45138567,24.18347367
313.745819,121.684662,97.79618567,14.32136367,77.206599,68.60793033,57.47311267,23.96183667
314.115906,121.4435657,97.58303333,14.293255,77.27508533,68.602605,57.312523,23.69081067
314.485962,121.3019257,97.121475,14.18281667,77.150416,68.348286,57.15220367,23.44530233
314.855988,120.90167,96.860565,14.19103633,77.009003,68.122683,57.04989233,23.33516867
315.225983,120.5993197,96.544576,14.107579,76.78116833,68.03188333,56.895855,23.14467733
315.595947,120.3001987,96.22498333,13.93679333,76.70564267,67.75320433,56.78245933,22.872069
315.965912,119.9224397,95.94949367,13.818148,76.42420967,67.49845867,56.66585033,22.665022
316.335815,119.9243723,95.664983,13.80960467,76.31144967,67.35947167,56.504247,22.42350333
316.705688,119.776169,95.59153733,13.644587,76.01266467,67.24341867,56.53586967,22.26497433
317.075562,119.5391667,95.63631167,13.517072,75.730596,67.187452,56.494268,22.13003167
317.445374,119.0747987,95.30842333,13.43110633,75.632408,67.00627133,56.25897367,22.000678
317.815216,118.7683997,95.094861,13.44492833,75.38789367,66.79833333,56.22305667,22.04951767
318.184967,118.5212043,94.73959133,13.28362533,75.186137,66.68970233,56.12352133,22.037791
318.554688,118.0059587,94.430944,13.271864,75.00128167,66.73361833,55.93937567,22.128126
318.924377,117.8793233,94.38998167,13.30024967,74.748703,66.47997933,55.688535,22.20319733
319.294037,117.714961,94.18197633,13.316228,74.68001067,66.37004733,55.68260733,22.17151533
319.663696,117.5832723,94.143842,13.34665133,74.476425,65.88629,55.668545,22.146877
320.033295,117.0932337,93.86380733,13.406906,74.26573433,65.75603333,55.55528233,22.056375
320.402924,116.0208767,93.50046567,13.503811,73.94582367,65.56266433,55.36946333,22.17125633
320.772461,115.4209417,92.97363567,13.44394233,73.52172067,65.24054833,55.16312167,22.119795
321.141968,114.7227683,92.72438567,13.348895,72.78630833,64.94989267,54.90594,22.090069
321.511475,114.2893193,92.13410433,13.26583733,72.36844133,64.917632,54.71091867,22.12823633
321.88092,113.8288803,91.73789467,13.15594933,72.07858533,64.61204,54.49062467,22.27283333
322.250366,113.4224423,91.34022533,13.252427,71.86261733,64.478917,54.39397933,22.339278
322.619751,112.7819647,90.81963867,13.236547,71.613533,64.320295,54.216483,22.416671
322.989136,112.1744717,90.502426,13.28504733,71.293612,64.00143333,53.87203333,22.656134
323.35849,111.551219,90.28893,13.46429467,70.94099933,63.84220733,53.64615533,22.794424
323.727814,111.0418017,90.05657233,13.44970667,70.77065267,63.61010267,53.58179733,22.92078467
324.097107,110.4824703,89.72705833,13.487383,70.56981633,63.47451667,53.53434633,23.076614
324.466339,109.8096213,89.32426433,13.60074067,70.54914867,63.23126367,53.37209567,23.09583267
324.835541,109.4255013,88.90627033,13.741776,70.21666467,62.95624,53.19563067,23.276836
325.204712,108.9891487,88.62214133,13.84893167,69.952975,62.703335,53.086736,23.366676
325.573914,108.4002607,88.26078567,13.906992,69.91113033,62.57310767,53.00273633,23.38290267
325.943024,107.946078,87.84177133,13.9509,69.73419667,62.32353333,52.84576667,23.47290633
326.312164,107.7160947,87.44566867,13.98877867,69.58568833,61.88055667,52.66835533,23.52813233
326.681244,107.1441243,87.22600533,14.01289567,69.53675833,61.70244467,52.52666867,23.548404
