wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY
315.965912,8.551095,40.39936967,9.537756667,18.89252733,12.50574333,6.130473667,8.032123333,10.813252,11.38749167,6.928852,14.983422,15.42105033,4.459403667,27.195835
316.335815,8.467174,41.27905633,9.422262667,18.82595567,12.447656,6.092731667,8.016367,10.78670133,11.34469867,6.914929667,14.97056233,15.35679867,4.459323667,27.202029
316.705688,8.456614,42.19649667,9.384510333,18.77060367,12.42120133,6.168688,7.969575667,10.80830833,11.30460233,6.882001333,14.96587367,15.29027567,4.461069,27.25580767
317.075562,8.496708667,43.141833,9.403521333,18.788243,12.38913833,6.223619667,7.976171,10.77605067,11.22950233,6.943833333,14.943641,15.18798333,4.441379,27.08123633
317.445374,8.490969667,44.182762,9.401049667,18.850839,12.39938533,6.293765,7.995895667,10.819019,11.13120367,7.006404333,14.97311,15.18315067,4.453589,27.01028
317.815216,8.493810333,45.24840267,9.384319333,18.80640967,12.33688633,6.278154333,8.025892,10.83580867,11.18459133,7.063449,15.006541,15.06379233,4.557675333,26.987567
318.184967,8.518688,46.413654,9.347339667,18.78283833,12.286141,6.305522,8.040287667,10.83294567,11.20039533,7.147619333,15.05976767,14.91453033,4.546260667,26.93003467
318.554688,8.516054667,47.720647,9.344498,18.72665033,12.340289,6.298924333,8.06168,10.79635667,11.12991633,7.100358333,15.07866633,14.93407967,4.559917333,26.95221833
318.924377,8.522819667,48.99673367,9.33274,18.69538933,12.27442433,6.280900333,8.03719,10.798905,11.193236,7.189892333,15.062108,14.91531367,4.548331333,26.999314
319.294037,8.624839333,50.45624567,9.33385,18.65956367,12.20994533,6.249699,8.035684667,10.77367567,11.193509,7.181679667,15.162484,14.80555467,4.533070333,26.878664
319.663696,8.555362333,51.91104267,9.44549,18.51313533,12.20863167,6.164957333,7.966332,10.754417,11.18763167,7.243041667,15.19126933,14.74137467,4.556082,26.82631967
320.033295,8.511695333,53.33616533,9.460679,18.47574033,12.286766,6.154035667,7.996934667,10.713146,11.15475767,7.266657667,15.14590933,14.786512,4.524010667,26.63583833
320.402924,8.462160333,54.68118667,9.529053667,18.448141,12.29105533,6.097312,8.032891667,10.67619933,11.09677733,7.283372333,15.20563633,14.80892967,4.564687,26.60028433
320.772461,8.490797667,55.967205,9.403754667,18.43400567,12.31225333,6.063682667,7.970943333,10.58219,11.03603067,7.350397,15.25170467,14.82498233,4.477967,26.54095333
321.141968,8.438678,57.13595567,9.386967667,18.45242733,12.34049933,5.996147667,7.947994333,10.39405067,11.13154467,7.264187,15.18890233,14.863697,4.435573333,26.527233
321.511475,8.544284,58.37400533,9.408897667,18.496886,12.38324067,5.979839333,7.916600667,10.443288,11.15436433,7.192672667,15.15644433,14.945516,4.400414,26.589375
321.88092,8.565574667,59.49518333,9.4576,18.569499,12.39895633,5.972842333,7.756334333,10.40839733,11.125047,7.197673667,15.258764,14.94326133,4.458548333,26.54214867
322.250366,8.607306,60.55958167,9.437733,18.62244967,12.33120433,5.875274333,7.872343,10.36160533,11.21756533,7.193899,15.25531467,14.98641133,4.465436667,26.51215033
322.619751,8.514531667,61.606533,9.457106333,18.59496067,12.28644633,5.994241333,7.893291667,10.33211,11.152587,7.192653,15.324245,14.96241,4.460855667,26.56717867
322.989136,8.564328,62.73446,9.467556333,18.51605833,12.32882867,6.024897667,8.017562,10.301828,11.08094767,7.196222333,15.352435,14.977795,4.466076333,26.454368
323.35849,8.594396333,63.82954167,9.40889,18.47447767,12.32018367,6.043930667,7.948291333,10.31738067,11.04550233,7.206598333,15.374182,14.98257767,4.453084667,26.45855033
323.727814,8.609790333,64.87498833,9.356918,18.52711467,12.31910967,5.981605,7.880827,10.31831033,10.970699,7.140259667,15.35328133,15.06157933,4.436695667,26.46260533
324.097107,8.667154333,65.75081733,9.521647,18.514593,12.312141,5.935821,7.915735333,10.36692567,10.966731,7.161709333,15.344371,15.14985333,4.436825333,26.36790667
324.466339,8.702710333,66.79495633,9.520898333,18.51073967,12.27305967,5.826337667,7.951224333,10.40881333,10.98540967,7.213972667,15.36507167,15.25638033,4.415886,26.383688
324.835541,8.618604333,67.67669067,9.490382333,18.54851867,12.17408433,5.731705667,7.904673,10.416415,10.97814967,7.205345,15.43716433,15.42659367,4.39946,26.391238
325.204712,8.616541333,68.468948,9.554331333,18.455156,12.20044867,5.708101,7.857125333,10.34531533,11.01930567,7.275202,15.44643,15.40206933,4.361440667,26.468703
325.573914,8.592006,69.10042433,9.522308,18.48307433,12.24819467,5.672617,7.782662333,10.309617,11.00986,7.275437333,15.525259,15.53389967,4.291078333,26.358017
325.943024,8.586118,69.773486,9.597691667,18.45639367,12.23473667,5.611568333,7.751802,10.252033,11.004838,7.248238,15.505373,15.69008033,4.361905667,26.32061767
326.312164,8.565622333,70.226223,9.645073,18.48677767,12.176397,5.554252667,7.707278667,10.14649133,11.040748,7.288993667,15.489634,15.731063,4.397615667,26.29250067
326.681244,8.594423,70.79549667,9.679726667,18.44831667,12.27301167,5.527478,7.725207667,10.06900733,10.95312933,7.234090667,15.535377,15.787882,4.382145333,26.20468467
327.050262,8.586210667,71.27236167,9.681591667,18.41494567,12.31761367,5.564439333,7.704676333,10.18570033,10.87954867,7.274587333,15.492515,15.92476,4.482757333,26.22978567
327.41925,8.666365667,71.90290967,9.580292,18.53905167,12.331888,5.581743667,7.706406667,10.208295,10.939895,7.272275333,15.507485,15.97006267,4.453827,26.23435833
327.788239,8.702647333,72.669838,9.569240333,18.55563033,12.26415433,5.564471667,7.673657667,10.377634,10.946112,7.257655,15.55422333,16.053446,4.591074333,26.322504
328.157166,8.858074667,73.34670267,9.557802667,18.618067,12.21236167,5.635120333,7.655832,10.438723,10.96792833,7.255410333,15.57093833,16.15411433,4.626482,26.32857133
