wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY,EtBW1.W,EtBW3.W,EtBW4.WY,EtBW5.W,EtBW6.W,EtOB1.W,EtOB2.W,EtOB3.W,EtOB4.W,EtOB5.W,EtOB6.W,EtOB7.W,EtOB8.W,EtSY1.W,EtSY2.W,EtSY3.W,NpBW1.WY,NpBW2.WY,NpBW3.WY,NpSY1.WY,NpSY2.Y,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W,AkBW4.W,AkBW4.Y,AkBW15.WY,AkBW17.W,EtBW7.W,EtBW19.W,NpBW1.WY,NpBW4.W,NpBW4.Y,NpBW7.WY,NpBW11.Y,NpBW12.W,NpBW13.W,PgBW8.W,PgBW10.W
308.931915,9.594829,32.83983167,10.05935467,20.734132,13.23133267,6.619911667,8.391542667,11.23268233,12.42154433,7.331892,15.029393,17.12375633,4.739631333,29.08254567,48.49207333,100.2371037,23.88777767,50.019339,37.877125,26.163374,56.66421533,23.93162933,42.93388367,27.24810533,36.95030267,29.035448,36.25489067,44.84565733,27.69019433,27.37345867,41.64529433,12.074264,9.375373667,25.16814667,10.79776067,82.745069,55.79176867,16.13274733,52.81452533,43.740917,77.73472067,7.798634,80.30317667,56.88741933,100.230151,68.00540933,7.182772667,18.876713,68.79753233,23.392119,30.08284267,13.30819133,44.22940733,8.837366,11.72517867,11.29730933,27.18195133,67.23265333,87.05797567,39.79486867
309.302399,9.539455,33.01034033,10.013519,20.574458,13.20253933,6.576443,8.339360667,11.18594767,12.43464067,7.268616667,15.083839,17.009984,4.732953,29.02436,48.615668,100.1567433,23.79738733,50.21646967,37.96350733,26.406853,56.470473,24.045718,43.209891,27.479296,37.259032,29.23882033,36.42924533,44.91923433,27.82815067,27.633577,41.63476067,11.89275,9.222110667,25.04879,10.74479933,82.572904,55.795526,16.26639633,52.89188267,43.78014367,77.60282633,7.711807333,80.28021967,56.38563667,100.0227483,67.953693,7.13949,18.76822933,68.66329933,23.61087933,30.23548,13.27036967,44.18862533,8.743885333,11.69466333,11.219299,26.861392,66.870894,86.710536,39.60059233
309.672821,9.476469,33.20012467,9.89729,20.422851,13.08725867,6.494404667,8.331092667,11.08701767,12.35724233,7.215675,15.010085,16.90551933,4.701311667,28.934008,48.64452767,100.447108,23.67364967,50.48846733,38.00920467,26.66689167,56.46738833,24.17593567,43.55095533,27.66228167,37.49374233,29.48074167,36.609941,45.11493333,28.05742233,27.91547867,41.71801067,11.81932333,9.072475333,24.94601333,10.724417,82.457161,55.86944467,16.217889,52.94813167,43.71759667,77.331726,7.596769333,80.33232367,55.86542867,99.86655433,67.823738,7.099539333,18.66183167,68.282196,23.79673333,30.32419667,13.21468733,43.94729367,8.740690667,11.597415,11.17313733,26.599125,66.53922167,86.18869267,39.32920833
310.043243,9.425643,33.468753,9.885357667,20.24197767,13.029458,6.521314,8.337263,11.07677833,12.24888233,7.203487667,14.96994133,16.78997067,4.694137,28.85443167,48.78398267,100.644585,23.53769633,50.760026,38.14518733,26.96242067,56.382276,24.38799667,43.920302,27.862852,37.67073833,29.72483867,36.70783233,45.31825133,28.21800267,28.10998333,41.616034,11.66182367,8.942021333,24.852459,10.712504,82.27443667,55.883883,16.17215967,53.158385,43.75707633,77.181829,7.491610333,80.31666333,55.395518,99.71882867,67.66528333,7.075526333,18.56959867,68.033961,23.94824933,30.47458633,13.03553367,43.876297,8.663809333,11.45630133,11.09511233,26.358888,66.204436,85.666542,39.02861633
310.413635,9.313766333,33.64378167,9.854455,20.04088633,12.931084,6.503536667,8.281867333,11.00948133,12.18213633,7.156125667,14.910432,16.738282,4.731918667,28.744786,48.870224,100.7293853,23.427733,51.07645667,38.32997,27.159961,56.388527,24.708873,44.20728833,28.11846933,37.889077,30.026901,36.80875867,45.55597667,28.373097,28.31935567,41.629165,11.54537067,8.841957333,24.737743,10.73248733,82.08062967,55.79949067,16.204993,53.25949233,43.75916033,77.061376,7.438828333,80.45494833,54.846849,99.45958967,67.51956167,7.086335,18.46361833,67.867387,24.15241833,30.59704733,13.00938567,43.81200533,8.699376333,11.42299067,11.096579,26.12922533,65.86316567,85.26966367,38.75526433
310.784027,9.264682667,33.90302033,9.814287,20.00748767,12.887689,6.507147333,8.192694333,11.055879,12.17530567,7.137497667,14.907771,16.59905233,4.688946,28.55973667,49.02856933,100.5940117,23.32009633,51.284645,38.47006867,27.44369467,56.343201,24.95156967,44.453674,28.42898267,38.184254,30.353544,36.910828,45.83669,28.60064933,28.60827533,41.56965267,11.34990267,8.752029333,24.612493,10.69208533,82.03585067,55.86889533,16.27061133,53.30572533,43.700101,76.872187,7.390459,80.53585333,54.323859,99.220126,67.446523,7.107538,18.38289367,67.58079767,24.40386633,30.82651733,12.9501,43.64049133,8.540063333,11.36261967,11.050442,25.88385967,65.47194533,84.82818867,38.560056
311.154327,9.165193667,34.163432,9.756259,19.926211,12.86641567,6.39259,8.145694333,11.041772,12.076997,7.084252,14.87663933,16.49050233,4.681534333,28.428035,49.16787067,100.5992023,23.26224233,51.54109033,38.54966233,27.802489,56.30937433,25.26699467,44.82661333,28.60360133,38.50745833,30.800527,37.043015,46.12807967,28.76105767,28.84576933,41.49213867,11.23200467,8.642016333,24.493109,10.65412233,81.85870367,55.87527233,16.198068,53.39362933,43.666528,76.67734,7.376884333,80.49763767,53.75026833,98.90925867,67.213159,7.015499,18.33778733,67.34688833,24.673723,31.02936333,12.94087967,43.403871,8.500089333,11.258472,11.00346967,25.573383,65.09387333,84.76415233,38.23827933
311.524628,9.090400667,34.38634,9.695271667,19.84285633,12.83755533,6.383707,8.133213333,10.92662233,11.97197233,7.084670333,14.88240233,16.44679133,4.637011,28.346135,49.257023,100.6305923,23.202137,51.70164733,38.687242,28.04630133,56.277457,25.48805633,45.23537433,28.822792,38.80945833,31.08683667,37.301281,46.40269733,28.91715133,29.12887967,41.41842067,11.172544,8.570498,24.33294467,10.60396233,81.74721533,55.81723767,16.179723,53.51750933,43.67150867,76.50166067,7.325781333,80.36859867,53.29529067,98.70418833,66.95894767,6.964742,18.29281367,66.92988567,24.93551133,31.309548,12.85987,43.10769267,8.513144,11.10491933,10.9367,25.411925,64.81857967,84.30770867,38.003345
311.894928,9.042829667,34.59770267,9.650682333,19.75806167,12.78762933,6.353195333,8.105961667,10.800891,11.893684,7.073305333,14.872093,16.423809,4.596153667,28.22915133,49.28848767,100.8307773,23.027515,51.92574433,38.83914067,28.46144167,56.18263367,25.74592067,45.67321667,29.124796,39.16428767,31.48237767,37.53605,46.69178133,29.17951533,29.42762633,41.412796,11.09055667,8.442173,24.25305233,10.543502,81.64036833,55.88459633,16.230607,53.545251,43.75348667,76.40348567,7.301649,80.20436367,52.73930467,98.713234,66.80568567,6.924939333,18.209304,66.695325,25.21758467,31.582975,12.761474,42.88195267,8.477522,11.02875967,10.89523,25.14659333,64.290513,83.89930433,37.71690033
312.265167,8.979507333,34.83054933,9.657292,19.69725367,12.71196867,6.392366,8.129222667,10.769604,11.80924033,7.113483,14.84063367,16.25237733,4.521616333,28.12980567,49.430177,100.8513947,22.976337,52.21794533,39.03894567,28.933603,56.18186067,26.05865467,46.107877,29.47488533,39.67125067,31.87567333,37.68249067,46.99201733,29.45715633,29.838392,41.30989633,11.05350767,8.340257667,24.06471767,10.579942,81.33298767,55.948718,16.26001833,53.66419233,43.77664467,76.33320633,7.247706333,80.08245833,52.24253067,98.42837533,66.65838367,6.943197,18.14522167,66.29222233,25.53099767,31.975858,12.679943,42.76956533,8.376697667,10.967945,10.769795,25.01035667,63.82325,83.57262467,37.38867
