wl,W1.N,W13.N,W15.N,W25.N,W27.N,Y1.N,Y3.N,Y9.N,Y11.N,Y14.N,Y25.N
325.204712,19.16265567,8.505453,10.273957,13.799495,7.460880333,7.997907333,5.838584,7.870891667,13.11767433,13.36498,11.28440267
325.573914,19.20537567,8.559613333,10.274956,13.83033367,7.462482,7.988378667,5.974367667,7.840117333,13.080639,13.37850967,11.21447533
325.943024,19.27624567,8.539988,10.27347567,13.85575633,7.523458333,7.99219,5.983446333,7.820442,13.18365267,13.44749867,11.171126
326.312164,19.29248633,8.512708667,10.33341133,13.87590833,7.523247667,8.058479,5.974593333,7.779864,13.14501767,13.53160933,11.16363833
326.681244,19.26303667,8.408873,10.33135,13.88142867,7.55182,8.196373,6.022252667,7.890153333,13.17103067,13.59138233,11.17213933
327.050262,19.22169133,8.407643,10.34758733,13.949995,7.62176,8.20582,6.032198,7.896314333,13.289482,13.567214,11.19568433
327.41925,19.21236233,8.390508333,10.33976733,13.98748,7.622142667,8.197349333,6.167576,7.995421667,13.23799767,13.58476833,11.24906767
327.788239,19.227578,8.375999333,10.336032,14.06074667,7.549150667,8.226276667,6.229097333,7.985575,13.288262,13.65528767,11.34408767
328.157166,19.20050367,8.3911,10.23438333,14.05902533,7.548454333,8.317053333,6.284318,8.065788667,13.417785,13.624331,11.33196867
328.526123,19.24545533,8.347240667,10.329655,14.15143,7.578754333,8.357763333,6.253677333,8.055982,13.413624,13.648274,11.38364667
328.894989,19.23187633,8.499401333,10.36826167,14.14071733,7.555415667,8.406927333,6.435781,8.12007,13.40528233,13.73284033,11.36652467
329.263885,19.297618,8.547787,10.48779167,14.163665,7.523967,8.510221,6.444923667,8.174979667,13.515852,13.76253,11.318249
329.63269,19.360328,8.572905333,10.60062233,14.172138,7.522751,8.516949667,6.522061667,8.218172667,13.53610833,13.86864133,11.344713
330.001495,19.37677767,8.624629667,10.72036033,14.08736167,7.513917667,8.579325,6.439385333,8.190205333,13.419543,13.92047633,11.37011
330.37027,19.43968967,8.693916333,10.69353067,14.055744,7.537601667,8.600260333,6.397555,8.085709667,13.408102,13.88703233,11.33668067
330.738983,19.44311633,8.682138,10.72154767,14.149211,7.631359333,8.513648667,6.363218,8.142180333,13.41813567,13.89547067,11.29562667
331.107697,19.491747,8.696227667,10.706366,14.16829567,7.623388333,8.458785667,6.496504,8.151864667,13.51460667,13.92622167,11.36984567
331.476379,19.52961933,8.721433,10.706975,14.13154667,7.639695333,8.391248,6.494408667,8.175332667,13.51959067,13.88995667,11.500056
331.845032,19.57377,8.701990333,10.737492,14.20195233,7.640538333,8.345584333,6.532124333,8.264084333,13.46990567,13.87392033,11.587642
332.213654,19.560195,8.776088333,10.78956233,14.23355467,7.634870333,8.322493333,6.630340333,8.243216667,13.56692633,13.921896,11.59268933
332.582245,19.60058567,8.762944667,10.888012,14.247365,7.539381,8.372109,6.605675667,8.25649,13.64062233,13.90404333,11.57439833
332.950806,19.65765433,8.715504333,11.02428733,14.35740667,7.494619333,8.410578,6.495893,8.301661333,13.706469,13.95673533,11.57215433
333.319305,19.69343,8.661378333,11.021952,14.368589,7.50172,8.401101333,6.507497,8.299849667,13.79586133,14.02219833,11.72242167
333.687775,19.657135,8.753638667,11.06778667,14.36262767,7.509248667,8.382701667,6.525047,8.369989333,13.76165333,14.042601,11.73633933
334.056244,19.60657567,8.845018667,11.10918267,14.33566567,7.526555,8.342765667,6.555284,8.425679333,13.87967433,13.97022767,11.757538
334.424683,19.65187267,8.911587333,11.09299033,14.34866833,7.552991333,8.283324333,6.516305333,8.386946,13.83603267,14.02395133,11.712878
334.793091,19.729934,8.976826,11.119178,14.37500733,7.528707,8.282555333,6.475424333,8.429134333,13.78295567,14.020769,11.73815933
335.161499,19.77211733,8.945145,11.10688633,14.31809267,7.548277667,8.26833,6.398846,8.307643667,13.780923,14.03475067,11.74246733
335.529785,19.79218967,8.936456,11.17966733,14.34212933,7.606188667,8.288112667,6.358139667,8.259205333,13.82279767,14.052802,11.67283433
335.898132,19.856849,9.052915667,11.149482,14.290256,7.638501333,8.257599667,6.31128,8.218938667,13.70120867,14.07701167,11.66529033
336.266388,19.924483,9.132748333,11.13268267,14.28722167,7.663856,8.184667667,6.400092667,8.19584,13.739392,14.06090167,11.69413467
336.634613,19.96027833,9.068811333,11.11969267,14.313729,7.604373333,8.166128667,6.367291333,8.109850333,13.745596,14.054893,11.762354
337.002838,20.02813267,9.055828,11.042054,14.29321867,7.587259667,8.187748,6.396578,8.125489333,13.70438833,13.979153,11.855326
337.371033,20.01240333,8.986146,10.988151,14.36108667,7.491433667,8.260419,6.357258333,8.103078667,13.75971033,13.94050767,11.85273067
337.739197,19.97934467,9.011742,10.938661,14.409711,7.523505,8.22494,6.362840333,8.090214333,13.856884,13.92662467,11.77360867
