wl,W1.1.W,W2.1.W,W3.1.W,W4.1.W,W9.1.W,W10.1.W,W10.1.Y,W11.1.WY,W12.1.W,W12.1.Y,W13.1.W,W13.1.Yl,W13.1.Ys,W14.1.W,W15.1.WY,W15.1.Y,W16.1.W,W17.1.W,W18.1.Wl,W18.1.Y,W18.1.Ws,W19.1.W,W19.1.Y,W20.1.W,W20.1.WY,W21.1.W,W21.1.Y,W22.1.WY,W22.1.Y,W23.1.W,W23.1.Y,W24.1.WY,W24.1.Y,W25.1.Y,W26.1.Y,W27.1.Y
311.524628,24.26777333,60.861529,45.93706367,62.047861,95.523005,40.728653,22.254929,43.51922233,81.38322967,8.471957667,66.45452667,39.112358,33.60685067,124.7516783,36.94170633,35.984548,83.564855,51.18349567,24.86460067,27.33132867,58.26622033,50.62571333,21.967037,40.33967967,40.629617,40.431587,6.278429667,32.631963,13.07213667,30.18791075,18.09896367,20.62315767,17.889124,54.60374433,37.676576,20.769518
311.894928,24.23886567,60.56487933,45.69449967,61.68707433,95.39087933,40.516201,22.062774,43.428055,80.922788,8.465575333,66.17884567,38.853246,33.451604,124.2677357,36.83649933,35.709052,83.06693533,50.85580833,24.64223033,27.16645233,57.938919,50.19902533,21.74131133,40.042609,40.527678,40.24737033,6.224029,32.440364,12.96130667,29.9973725,17.97852267,20.44963433,17.76091867,54.213693,37.35462833,20.534867
312.265167,24.15660033,60.29709233,45.40343033,61.385997,94.76086933,40.18222033,21.920588,43.26756567,80.52555833,8.396577333,66.00305567,38.520106,33.31533067,123.5436453,36.67685467,35.37959167,82.694982,50.624391,24.51753733,27.006149,57.75010433,49.90919733,21.52493033,39.82472967,40.41455067,40.14477267,6.110740333,32.28904067,12.901014,29.73734525,17.84147867,20.329129,17.59658933,53.99716433,37.347425,20.42416033
312.635345,24.10768167,60.05542767,45.25611167,61.13929567,94.69454433,39.97230767,21.74450367,43.07642233,80.45782967,8.280116,65.594074,38.402682,33.21926533,123.020874,36.46405167,35.17924133,82.29484833,50.24605167,24.36147567,26.787944,57.56874733,49.48749033,21.50166767,39.50594067,40.29184733,40.005192,6.142559667,32.13470867,12.88234133,29.6708295,17.704712,20.21872467,17.498536,53.773983,37.12605367,20.267442
313.005524,24.13836033,59.865827,45.11699667,60.88468933,94.42124933,39.836409,21.51741967,42.84436933,80.13559733,8.276149333,65.277659,38.31437167,33.09094,122.632759,36.320838,34.96160767,81.73672967,49.74132267,24.242979,26.71477033,57.47806133,49.14139067,21.41159833,39.18072,40.105582,39.819973,6.128188,31.99183333,12.82766067,29.56793725,17.63471033,20.04918567,17.31037933,53.50488933,36.93984733,20.13619667
313.375671,24.09985933,59.80936167,44.94372667,60.69737967,94.13788833,39.689162,21.336144,42.549976,79.89081567,8.168392333,65.04761,38.19289767,33.00642033,121.9608407,36.175976,34.77747967,81.260231,49.50037533,24.12970467,26.681148,57.45138567,48.81976167,21.26249,38.98965067,40.05439,39.81198,6.129928667,31.97904567,12.73112033,29.42161425,17.52684533,20.07299733,17.09979533,53.172586,36.79843033,20.08171267
313.745819,24.08691467,59.697168,44.76273067,60.398474,93.93743133,39.478217,21.22734467,42.40088633,79.62084433,8.086767667,64.77607067,38.08322033,32.954127,121.3472393,36.02420133,34.50901867,80.860499,49.145888,23.94002233,26.57639167,57.47311267,48.42666867,21.22104833,38.721549,39.902972,39.60928967,6.017689333,31.83078667,12.62909233,29.3064,17.46221533,20.020081,17.017009,52.863687,36.76806133,19.899077
314.115906,24.00912933,59.61346333,44.510332,60.154165,93.748693,39.27390267,21.140166,42.24467867,79.40497333,8.120559,64.50002933,37.92224633,32.81642233,120.6834003,35.75240633,34.092788,80.293429,49.06123333,23.724548,26.49168833,57.312523,48.031415,21.14045133,38.54564567,39.79012933,39.52169033,6.006521667,31.704632,12.445871,29.1624575,17.45227033,19.99738633,16.877215,52.56058,36.68866467,19.77253867
314.485962,23.976962,59.47338367,44.25877333,59.86574433,93.38803633,39.07284567,21.06583333,42.06425867,79.158076,8.086154333,64.17080167,37.67287067,32.72207267,120.3048427,35.57582667,33.785248,79.99335967,48.808563,23.57574133,26.36816533,57.15220367,47.67651133,21.06685433,38.397494,39.66272233,39.367321,6.033615333,31.54029267,12.42646967,28.96348525,17.477918,19.96706833,16.74933767,52.29376567,36.49702433,19.86864133
314.855988,23.96117467,59.340996,44.19356533,59.59131233,93.10628533,38.919286,20.88192567,41.875062,79.041313,8.057597667,63.76451633,37.479711,32.58803167,119.5708213,35.39990933,33.56678367,79.668363,48.677732,23.44514167,26.29933867,57.04989233,47.34779233,20.98139867,38.14347833,39.55220567,39.25445467,5.939633333,31.42849967,12.346407,28.88193725,17.39028767,19.974379,16.762728,51.91687633,36.340626,19.82587067
