wl,W1.2.W.N,W11.2.W.N,W13.2.WY.N,W15.2.W.N,W25.2.W.N
351.706085,65.93644333,69.28088233,17.95546433,22.32143967,68.39788833
352.073029,65.83269367,69.08506533,17.881024,22.31123233,68.17322067
352.439972,65.669806,69.072229,17.86345567,22.29385067,68.21844233
352.806824,65.543228,68.85144,17.86047933,22.32859233,68.23506433
353.173676,65.42508567,68.613332,17.90385167,22.31107767,68.13975767
353.540466,65.27558633,68.643191,17.81261967,22.34255167,68.04798133
353.907257,65.09029633,68.606247,17.71961667,22.35025733,68.100123
354.273987,64.88630033,68.43696733,17.78958567,22.40417033,68.043747
354.640747,64.812533,68.30763367,17.84619267,22.46113467,67.80035133
355.007446,64.64246867,68.195194,17.80968867,22.490939,67.82165533
355.374115,64.50581867,68.03119267,17.90562367,22.42058633,67.78096767
355.740723,64.46382767,68.02321267,17.94190567,22.462377,67.689537
356.1073,64.42794533,67.885746,17.95472033,22.46867233,67.778427
356.473846,64.23944367,67.94157167,17.99037733,22.46062867,67.80724833
356.840393,64.09963767,67.82721867,18.007498,22.47030833,67.847318
357.206879,63.875904,67.73414367,17.99332333,22.47030833,67.91765833
357.573364,63.764979,67.530098,18.05591233,22.42325033,67.93843833
357.939789,63.586534,67.47612733,18.13254867,22.46951533,67.946505
358.306213,63.45406733,67.31238433,18.21617067,22.53206333,68.03073367
358.672577,63.37032333,67.17258467,18.302873,22.56222533,67.87133
359.03891,63.242424,67.07119267,18.38533267,22.64568333,67.86268867
359.405212,63.21283967,66.960124,18.421617,22.72631333,67.95225
359.771484,63.07252133,66.86575867,18.49400433,22.78161,68.03435233
360.137695,62.98542267,66.72688,18.54282133,22.91972333,68.09653733
360.503937,62.87258667,66.68713633,18.59197033,22.98402033,68.17669433
360.870148,62.852371,66.58763367,18.634458,23.08210367,68.30254867
361.236298,62.782693,66.46211233,18.722288,23.198201,68.434606
361.602417,62.689762,66.383545,18.84986333,23.312757,68.52204367
361.968475,62.65595633,66.413644,18.857071,23.48678133,68.67659
362.334503,62.588872,66.32003533,18.88336767,23.620833,68.77847533
362.700562,62.493612,66.24540067,18.920011,23.72974667,68.732419
363.066528,62.47093967,66.13461933,18.99621667,23.853206,68.733589
363.432526,62.39750167,66.005047,19.060249,23.942544,68.91100567
363.798431,62.28323233,65.92878333,19.08994467,24.156594,68.894854
364.164337,62.16579567,65.75222667,19.17487467,24.28569167,68.99544267
364.530182,62.02565733,65.69846733,19.267931,24.489907,69.10959133
364.895996,62.02616267,65.60563033,19.397579,24.623158,69.091283
365.26181,61.91875433,65.70124267,19.537252,24.83600767,69.17536167
365.627563,61.868482,65.53581867,19.66857133,25.04692533,69.31843567
365.993286,61.82351167,65.49456167,19.81965467,25.24010033,69.2733
366.359009,61.75935867,65.41167333,19.890544,25.502009,69.498319
366.72467,61.732516,65.37168633,19.96033267,25.66829433,69.61094667
367.090302,61.658609,65.245393,20.07236167,25.85756933,69.695099
367.455902,61.530964,65.298466,20.19815367,26.09106833,69.88493833
367.821503,61.497243,65.22873333,20.32688733,26.147646,70.00589
368.187012,61.44402033,65.15196067,20.45628033,26.36049367,70.022471
368.552521,61.249373,65.15566767,20.58778333,26.58099867,69.98712667
368.917999,61.176182,64.963479,20.69833233,26.803899,70.12301367
369.283447,61.16213,64.98598733,20.776177,26.93619167,70.14279433
369.648865,61.19673433,64.908133,20.91950867,26.98602833,70.12729133
370.014282,61.07007967,64.97676067,21.04915633,27.073,70.18384333
370.379608,61.007904,64.899685,21.205522,27.24682733,70.16127533
370.744904,60.922193,64.95062767,21.32287833,27.43096267,70.211273
371.110168,60.79259367,64.96613567,21.47613833,27.529577,70.24668367
371.475403,60.712096,64.85586533,21.663893,27.68189067,70.39980333
371.840637,60.69123833,64.950293,21.71594467,27.890895,70.34228
372.205841,60.59943867,64.931839,21.894438,28.00001567,70.30549867
372.570984,60.56291167,64.76592,21.96766533,28.22298967,70.34884133
372.936127,60.441596,64.597098,22.02602267,28.36039533,70.375567
373.301208,60.38999333,64.6188,22.08499867,28.48573033,70.336067
373.66626,60.160248,64.66204833,22.16784167,28.65336933,70.41004967
374.03125,60.04702267,64.668756,22.33522033,28.60639367,70.54051467
374.39624,59.95208633,64.58797333,22.46566433,28.77101267,70.55540233
374.7612,59.743711,64.51818333,22.62138167,28.83486733,70.506996
375.12616,59.72543733,64.42412467,22.72254567,28.98724133,70.472974
375.491028,59.615828,64.43929533,22.832271,29.15791133,70.42247267
375.855927,59.51476533,64.488945,22.87366867,29.22336967,70.634758
376.220734,59.412486,64.43680567,22.88988233,29.30819,70.76140833
376.585541,59.30933267,64.462887,22.97293667,29.384398,70.71221633
376.950287,59.19160333,64.32861733,23.11749133,29.51656267,70.80715933
377.315002,59.00988267,64.29603567,23.14059433,29.60641633,70.94396467
377.679688,58.98241033,64.29119867,23.21338767,29.737883,71.044065
378.044373,58.879322,64.36655833,23.28588533,29.84415333,71.27236933
378.408997,58.793063,64.26955667,23.33571933,29.995077,71.286756
378.773621,58.77814633,64.24401733,23.40039967,30.13564933,71.292066
379.138184,58.642278,64.25673167,23.487321,30.20084567,71.35587067
379.502716,58.623554,64.23520167,23.61227667,30.31880967,71.543676
379.867188,58.60268667,64.198208,23.68899967,30.423992,71.58163433
380.231659,58.47974767,64.30832967,23.85543833,30.59651133,71.74694033
380.5961,58.56906,64.257577,23.93496333,30.77421133,71.98372167
380.96051,58.5328,64.20129667,24.095131,31.063348,72.02293133
381.324921,58.49652467,64.01927567,24.25235233,31.29128067,72.12751233
381.68924,58.313633,63.927933,24.411562,31.62124633,72.14373767
382.053528,58.18721,63.82270067,24.550397,31.875291,72.267072
382.417816,58.23604567,63.77919767,24.659804,32.177959,72.364403
382.782013,58.148739,63.70868167,24.750981,32.27883533,72.51596833
383.14621,58.15099567,63.54624567,24.866887,32.516814,72.61584233
383.510406,58.06379333,63.47751133,24.98934267,32.73909433,72.61626667
383.874542,57.92645633,63.335321,25.13745067,32.903038,72.578888
384.238678,57.82274,63.16419233,25.328076,33.16003433,72.66580967
384.602753,57.74182767,63.09483567,25.434754,33.325453,72.650828
384.966766,57.61455,62.949511,25.652811,33.58754567,72.61040767
385.33078,57.567155,62.829282,25.81343633,33.76612633,72.606804
385.694763,57.49273167,62.71381733,25.89449067,33.96231967,72.539131
386.058685,57.41843133,62.653651,26.05677867,34.17180133,72.72252633
386.422607,57.314579,62.57894867,26.12501167,34.36755233,72.81543233
386.786499,57.270681,62.595487,26.26542133,34.638869,72.826698
387.15036,57.21590567,62.52047,26.45731933,34.81896267,72.82352467
387.51413,57.21724067,62.3562,26.561901,35.060627,72.882652
387.87793,57.19833033,62.183501,26.62730833,35.210118,72.83029933
388.241669,57.02274333,62.17319333,26.77629633,35.32947067,72.86571233
388.605377,56.88102333,62.169379,26.87280467,35.50513467,72.94964333
388.969025,56.880465,62.197028,27.00565,35.62431267,73.087771
389.332703,56.868862,62.11681767,27.08100167,35.86862533,73.20989233
389.69632,56.84399633,62.09469333,27.172936,36.01583733,73.45386
390.059875,56.748034,62.03453933,27.325602,36.13629833,73.477834
390.423431,56.720711,61.989746,27.493197,36.39813533,73.50508367
390.786957,56.59861633,61.93948733,27.605245,36.55086067,73.62488533
391.150421,56.626437,61.88860067,27.801682,36.81113133,73.65233867
391.513855,56.662459,61.86729467,27.97416633,37.09585,73.803248
391.877228,56.63214233,61.875717,28.06551933,37.24128333,74.02342733
392.240631,56.57753633,61.85946033,28.108509,37.49109567,74.156499
392.604004,56.67494433,61.822619,28.20484167,37.69821233,74.30241633
392.967316,56.665086,61.74380633,28.33163033,38.02449933,74.43415067
393.330597,56.71679533,61.667353,28.44989767,38.22601533,74.57539633
393.693848,56.73109833,61.67753233,28.537779,38.406707,74.77559133
394.057037,56.70183567,61.693737,28.717062,38.59431267,74.87132533
394.420197,56.65071867,61.581838,28.807115,38.72577833,74.899376
394.783325,56.589757,61.526253,28.86917833,38.99892933,75.02673367
395.146484,56.49647267,61.50922267,29.007284,39.279084,75.125308
395.509552,56.48246267,61.54261267,29.15277567,39.51341367,75.25927733
395.87262,56.42508833,61.54075767,29.32098167,39.82871767,75.337461
396.235596,56.42511633,61.428454,29.488769,40.02098467,75.518214
