wl,W2,W3,W15,W16,W17,W18,W25,W26,Y2,Y4,Y16,Y18,Y27,Ak1,Ak2,Ak4,Ak5,AkOB4,Cl,Et1,Et4,Et13,Lh1,Lh2,Lh3,Lh5,Lh6,Lh7,Lh8,Lh9,Lh10,Np,Np1,Np2,Np3,Np4,Np9,Np20,Np23,Np27,Pg3
305.967041,7.541403333,4.769402,10.19486933,7.935496,13.909026,17.56361333,47.05309033,8.077692667,10.661752,11.744554,8.723550667,7.798425333,10.92215467,12.34378767,24.28686433,20.231538,10.129821,11.60285367,12.91589767,4.0766,12.12152333,6.129065,12.493173,21.23158933,14.42755567,11.73710633,5.649359667,6.967176333,8.466652,18.27341533,20.09358667,6.785156333,10.477991,12.849844,3.997602667,8.218145333,13.331874,7.527575333,14.577482,5.569865,6.805331333
306.337769,7.586611333,4.833029667,10.25224267,8.057599333,13.94395233,17.593395,46.887492,8.016846667,10.68551533,11.72751567,8.753930667,7.799071,10.975738,12.26261167,24.23951067,20.15483733,10.11114733,11.51932533,12.924204,4.055604,12.07266167,6.156162333,12.50793167,21.26600633,14.46817967,11.67771967,5.661593,6.936817667,8.416253333,18.20658733,19.99479667,6.756546333,10.499204,12.92981733,3.956241667,8.228708333,13.35885867,7.524336333,14.588322,5.567114,6.693325333
306.708405,7.632566333,4.802298333,10.275551,8.125270333,13.94500667,17.57839233,46.83567333,8.02192,10.646358,11.668972,8.786969,7.851848333,10.885539,12.27937533,24.19670467,20.08681367,10.08476,11.55465533,12.96790533,4.009707333,12.04438867,6.183277,12.545891,21.25369733,14.466616,11.643046,5.635375333,6.894747667,8.455732,18.071591,20.009243,6.697379667,10.53103633,12.97716,4.000628333,8.285372,13.45287833,7.581104333,14.49195467,5.592063333,6.682742667
307.079071,7.592875333,4.742625,10.18508367,8.0922,13.92746433,17.55874367,46.771332,8.024661333,10.65810067,11.64249367,8.702674,7.771327333,10.85450533,12.116589,24.16729,20.03203167,9.962225,11.41074467,12.87791533,4.005536,12.03385433,6.131484667,12.51575367,21.232796,14.502593,11.666841,5.67218,6.906558,8.466580333,17.92930867,19.94727333,6.666428,10.55356167,12.87631133,4.020312667,8.361898,13.44004367,7.550779,14.49130567,5.633280333,6.620961
307.449677,7.597724333,4.717513667,10.16946867,8.105684,13.98267167,17.43803067,46.67597267,7.933998667,10.65448967,11.53182933,8.677581667,7.812880667,10.84939033,12.08495233,24.11984767,20.00405533,9.935388333,11.42129,12.80970467,3.871975333,11.95638567,6.17683,12.511206,21.14509633,14.55297533,11.63450833,5.673182,7.033879333,8.455296667,17.812588,19.795698,6.669031667,10.52118433,12.861882,4.010048667,8.437895333,13.33140733,7.502703667,14.42234467,5.627254333,6.628342
307.820313,7.579356667,4.737643,10.09552967,8.133759,13.96629067,17.436354,46.538396,7.789711667,10.60100333,11.507353,8.632692,7.841043,10.81787867,12.04628067,24.01625233,20.00172433,9.936900333,11.39055033,12.765053,3.792737667,11.91430833,6.204912667,12.52515667,21.15107967,14.57867,11.62230467,5.708424,7.085961333,8.325075,17.71132767,19.62371367,6.674059333,10.52914833,12.872757,4.034607333,8.467739667,13.261635,7.460358,14.416356,5.683947,6.598073667
308.190857,7.534646,4.657401,10.04119767,8.134152333,14.006745,17.347244,46.390539,7.753599667,10.47004933,11.484237,8.588050333,7.866052,10.71669933,11.983632,24.06097533,19.97752033,9.893560333,11.377719,12.72195467,3.780226,11.908732,6.228537333,12.52848533,21.12672233,14.63084133,11.58018,5.717692333,7.114249667,8.233284,17.628516,19.659732,6.658757667,10.51726667,12.84933467,4.008776667,8.499995,13.26518067,7.381093333,14.364322,5.690442,6.545242
308.561401,7.458269333,4.622444667,9.957766,8.116791333,14.051691,17.42026233,46.25616833,7.653841,10.41146833,11.49030933,8.547368333,7.798393,10.736247,11.90670767,24.01805433,19.95323067,9.849884333,11.32746233,12.73900467,3.872728,11.83120267,6.176585,12.55063267,21.10705167,14.61923167,11.534239,5.704031667,7.002099667,8.188280667,17.530831,19.64701033,6.646814333,10.53247533,12.74667167,4.003859667,8.535145667,13.16247533,7.377606333,14.290657,5.733578,6.549719667
308.931915,7.479469667,4.614223,9.966207,8.105138667,14.008825,17.45068067,46.10826467,7.638585,10.337285,11.50303,8.516938667,7.784664,10.74417433,11.94289567,23.987071,19.879285,9.870634,11.30159767,12.72941467,3.890875667,11.76139767,6.202088333,12.46736333,21.114374,14.69126067,11.417384,5.663513667,7.036418,8.140265667,17.40291467,19.54432067,6.604997333,10.49323067,12.66511033,4.116544333,8.535516333,13.21367833,7.397621333,14.31253267,5.804119667,6.507283
309.302399,7.442812333,4.552786333,9.976242,8.127986,14.01682133,17.436516,46.02726833,7.600505333,10.30630767,11.43014667,8.479650667,7.789892667,10.75285033,11.89294133,23.960025,19.82234367,9.844458,11.29510533,12.75722533,3.811080667,11.711471,6.207232333,12.416009,21.02868133,14.818425,11.39611267,5.598148333,7.0902,8.169488,17.33546333,19.54884967,6.634429667,10.47423233,12.641105,4.143359,8.516291667,13.262437,7.325743,14.28057433,5.826191333,6.495602333
