wl,EtBW1.W,EtBW3.W,EtBW4.WY,EtBW5.W,EtBW6.W,EtOB1.W,EtOB2.W,EtOB3.W,EtOB4.W,EtOB5.W,EtOB6.W,EtOB7.W,EtOB8.W,EtSY1.W,EtSY2.W,EtSY3.W
531.94928,67.88165767,110.4869107,69.62634533,89.791405,79.76177467,71.906184,55.139834,50.99249533,87.077253,63.77088933,98.079544,75.460429,89.35129,90.42978633,62.83968467,78.76743567
532.29834,67.80589533,110.5852737,69.56040733,89.79538733,79.67404433,71.837082,55.04586767,50.88119533,87.10682667,63.72460933,98.16693367,75.42303967,89.343661,90.37897233,62.74458167,78.708028
532.647278,67.668634,110.838735,69.42423367,89.72370133,79.51252967,71.66911833,54.85612633,50.65359,87.03545633,63.554507,98.323031,75.30402633,89.25695567,90.29603833,62.56075533,78.46832033
532.996155,67.480007,111.1491193,69.20797867,89.661026,79.36090867,71.454796,54.65566267,50.432682,86.90647633,63.357379,98.46128333,75.161949,89.18453767,90.211502,62.41707733,78.21982833
533.345093,67.32430133,111.3118313,69.07888133,89.65688567,79.29328133,71.28347267,54.56498467,50.358968,86.80903367,63.33543133,98.610461,75.04742167,89.207016,90.178085,62.34001533,78.08434533
533.693909,67.27914533,111.5056,68.99646633,89.70090733,79.26053867,71.24806467,54.534767,50.33576333,86.76631167,63.21962,98.68137133,75.01877367,89.17063667,90.20964833,62.240809,78.074338
534.042664,67.269409,111.595281,68.96947867,89.73941033,79.26774367,71.21261833,54.53212733,50.26308333,86.766492,63.18691233,98.715131,74.99321767,89.15606933,90.23896033,62.218071,78.086917
534.391418,67.34647467,111.679934,69.02760067,89.736066,79.204643,71.20822633,54.548879,50.26506433,86.80188967,63.18758433,98.75914,74.96325433,89.15066233,90.21134167,62.22083767,78.12016033
534.740051,67.34286633,111.6611403,69.06064,89.70048267,79.23640933,71.19152067,54.554732,50.25623167,86.806226,63.158835,98.82763667,74.92187,89.15830233,90.228447,62.24267733,78.080625
535.088806,67.32954033,111.6437203,69.05874867,89.71705867,79.16532133,71.18883767,54.58267867,50.23262533,86.77088667,63.11975767,98.87405133,74.90995533,89.120463,90.193878,62.22821433,78.12538633
535.437378,67.33054233,111.610329,69.09182733,89.723839,79.15910067,71.21754967,54.54394667,50.244371,86.73494233,63.173973,98.910988,74.874115,89.13212333,90.25387567,62.25051767,78.121816
