wl,AkBW4.W,AkBW4.Y,AkBW15.WY,AkBW17.W
363.066528,55.39028433,6.557161,17.38370433,57.72361767
363.432526,55.33171967,6.536887,17.42567333,57.79369967
363.798431,55.372383,6.552459,17.48135567,57.843361
364.164337,55.332774,6.595495667,17.53633967,57.96007933
364.530182,55.321977,6.614645,17.59028767,58.08978433
364.895996,55.28262333,6.662848,17.68391367,58.19103867
365.26181,55.32755533,6.786643333,17.79262767,58.226696
365.627563,55.305827,6.832099333,17.92018533,58.34589267
365.993286,55.263499,6.921187,18.06801833,58.47783667
366.359009,55.21166467,6.972264667,18.14344033,58.55091567
366.72467,55.216217,7.021412333,18.31115033,58.76786167
367.090302,55.20924233,7.036997667,18.42397733,59.14108133
367.455902,55.17788067,7.134697667,18.51373967,59.26081333
367.821503,55.16202667,7.126466333,18.61578833,59.42030567
368.187012,55.19998433,7.097330667,18.68921567,59.46914033
368.552521,55.19500733,7.160583667,18.71033033,59.682457
368.917999,55.12458667,7.106516667,18.75894233,59.86319867
369.283447,55.098025,7.202017,18.886819,60.04886367
369.648865,55.067426,7.312696667,18.90128567,60.08090567
370.014282,55.092967,7.368438667,18.942539,60.10674767
370.379608,55.09205867,7.432311,19.00679633,60.22828033
370.744904,55.02707167,7.479232,19.02041,60.358884
371.110168,55.078514,7.429302667,19.06179367,60.41418733
371.475403,54.99517567,7.465215333,19.07517567,60.583018
371.840637,54.97283033,7.515381,19.137351,60.71000533
372.205841,54.92518367,7.556204667,19.20112533,60.74416233
372.570984,54.87181867,7.581009,19.203382,60.78158533
372.936127,54.74873733,7.656153,19.28582133,60.91078067
373.301208,54.72872533,7.711152667,19.36405333,61.01558567
373.66626,54.73209133,7.720872333,19.45239833,61.02720133
374.03125,54.599523,7.722416,19.58219433,61.144693
374.39624,54.565343,7.723878,19.55139767,61.19535167
374.7612,54.60369633,7.784187667,19.68248033,61.25797167
375.12616,54.535211,7.797769667,19.771333,61.38636367
375.491028,54.501175,7.855335333,19.83021067,61.42128867
375.855927,54.502473,7.906437,19.85336367,61.37167867
376.220734,54.572594,7.924964667,19.93796167,61.307209
376.585541,54.58668367,7.963311333,19.998838,61.39439033
376.950287,54.54706967,7.897047,20.04804933,61.43449133
377.315002,54.47411433,7.936763333,20.15058233,61.57275033
377.679688,54.45383833,7.943293667,20.267433,61.781096
378.044373,54.498815,8.005545667,20.43525233,61.869003
378.408997,54.500417,8.005318667,20.51864967,61.90699267
378.773621,54.43007533,8.105106667,20.54222,62.07176467
379.138184,54.46089567,8.164652333,20.64508767,62.120467
379.502716,54.50184,8.182737667,20.74232067,62.17837767
379.867188,54.483818,8.247949667,20.82628433,62.340089
380.231659,54.413414,8.290951667,20.88901467,62.46641033
380.5961,54.414266,8.295466667,20.93989667,62.622627
380.96051,54.37850167,8.279572667,21.04851,62.619994
381.324921,54.28786867,8.264283667,21.08145333,62.87300767
381.68924,54.349654,8.348295667,21.10259833,62.968497
382.053528,54.362672,8.428867333,21.260963,63.076809
382.417816,54.291626,8.456188667,21.20638267,63.10149133
382.782013,54.338572,8.440751333,21.26307967,63.077756
383.14621,54.366764,8.497774333,21.33692467,63.25729633
383.510406,54.26877833,8.530075667,21.43821867,63.44681533
383.874542,54.203874,8.657233667,21.50110167,63.53191867
384.238678,54.27127467,8.77537,21.553776,63.50563433
384.602753,54.213745,8.846742333,21.583571,63.53295533
384.966766,54.23935433,8.848929333,21.71448567,63.53053667
385.33078,54.117648,8.940096333,21.753298,63.48238367
385.694763,54.09316767,9.011268667,21.763148,63.54273367
386.058685,54.14011367,9.060438667,21.85994633,63.59752
386.422607,54.099576,9.123973667,21.94454733,63.59825667
386.786499,54.039889,9.130835,21.92505267,63.66274133
387.15036,54.03457,9.139578,21.97121333,63.66083167
387.51413,54.04651267,9.173526667,22.02176167,63.58433933
387.87793,54.072558,9.213095,22.08233433,63.704164
388.241669,54.06951767,9.293985333,22.13620833,63.72510767
388.605377,54.11874,9.336875,22.17025,63.739844
388.969025,54.163035,9.45222,22.27118133,63.69504533
389.332703,54.195141,9.479404333,22.37577033,63.82209767
389.69632,54.19782867,9.505169667,22.45506767,63.841844
390.059875,54.12932967,9.554117667,22.584779,63.942641
390.423431,54.12328733,9.652232667,22.68879767,64.119591
390.786957,54.06957,9.679548,22.777663,64.138124
391.150421,54.105593,9.707595667,22.89078167,64.176449
391.513855,54.080345,9.712067,22.919773,64.34480267
391.877228,54.07842033,9.679608333,23.07805233,64.43071867
392.240631,54.18956,9.707353667,23.14349067,64.54907967
392.604004,54.17316967,9.75633,23.21707333,64.60548
392.967316,54.215809,9.739254667,23.40809433,64.702047
393.330597,54.19542433,9.792023,23.48353033,64.79597967
