wl,NpBW1.WY,NpBW4.W,NpBW4.Y,NpBW7.WY,NpBW11.Y,NpBW12.W,NpBW13.W
339.211517,13.566972,37.958323,7.255748333,11.115845,9.194939667,24.44037,53.666178
339.579498,13.505711,37.97698467,7.172737333,11.056064,9.145574667,24.43171333,53.94608167
339.947449,13.54004167,38.00889433,7.128485,11.06283467,9.149432333,24.453593,54.206197
340.31543,13.58645033,38.03108467,7.071740333,11.11750533,9.092298667,24.362365,54.436873
340.683289,13.59956467,37.954909,6.963089667,11.15716867,9.009329,24.30503667,54.66426867
341.051208,13.56710533,37.939322,6.882771333,11.23465267,8.977435,24.28897767,54.90837467
341.419067,13.54604467,37.91975133,6.844435,11.23756867,8.928805667,24.3282,55.118356
341.786865,13.478708,37.941026,6.874479667,11.22449133,8.916836667,24.21765133,55.409284
342.154663,13.39996767,37.9425,6.758751667,11.306892,8.938800667,24.120177,55.57474667
342.522369,13.41855133,37.79974233,6.789485,11.36974133,8.915783,24.013482,55.690922
342.890076,13.38311933,37.65619667,6.778814333,11.423928,8.899541,23.91852333,55.97775633
343.257813,13.36878867,37.67804867,6.797117,11.43984867,8.92309,23.900989,56.24130767
343.625458,13.382204,37.73614,6.783597333,11.52173767,8.962668,23.865221,56.50348533
343.993134,13.392285,37.780229,6.768076333,11.52258367,8.965836,23.775926,56.73338167
344.360718,13.30044833,37.783727,6.770127333,11.48509,8.985391,23.73336867,56.956174
344.728271,13.33732867,37.83040233,6.793574667,11.43794,9.018756333,23.69202333,57.320591
345.095795,13.33239667,37.932018,6.822612,11.44954133,8.960302,23.68151733,57.405632
345.463287,13.40704667,37.99926267,6.826938,11.51807533,8.977604333,23.607869,57.54066867
345.83075,13.44557267,37.94398633,6.791645,11.48477967,8.97993,23.58093,57.91900767
346.198212,13.47119967,37.94213233,6.815488667,11.551185,8.975344667,23.566815,58.13623933
346.565613,13.53691967,38.00790133,6.860303333,11.47097167,9.044159,23.58092633,58.379054
346.933014,13.60826267,38.15026867,6.917671667,11.53492567,9.019819333,23.54883333,58.80588033
347.300354,13.62289367,38.15984967,6.974792333,11.55792367,9.014105,23.49304733,59.03705333
347.667694,13.552463,38.12358967,7.008384,11.552685,9.015022,23.40688067,59.32923033
348.034973,13.55146867,38.135034,7.081099667,11.551893,9.035961333,23.47021133,59.591043
348.402222,13.55913433,38.19508233,7.122301,11.490098,9.077727333,23.47527133,59.948387
348.769409,13.56869333,38.12127433,7.154837667,11.48601233,9.093888,23.44468767,60.19813033
349.136627,13.557209,38.093517,7.201732333,11.468384,9.200539333,23.38562667,60.37599167
349.503784,13.618045,38.09160467,7.127852333,11.46776167,9.187978333,23.324767,60.649783
349.870911,13.70144733,38.06983333,7.157346333,11.44687533,9.240281333,23.43413933,61.025407
350.238007,13.70615833,37.99413933,7.148076333,11.40879633,9.238404,23.48187433,61.461581
350.605072,13.77367367,38.05626033,7.075580667,11.39012333,9.172640333,23.54708667,61.709071
350.972107,13.83233133,38.04485967,7.069152,11.410169,9.123282667,23.51463,62.03546767
351.339111,13.81713333,37.91990533,7.046030333,11.399941,9.085466667,23.49816333,62.27816367
351.706085,13.89528667,37.83579,6.964028667,11.33056133,9.086225333,23.52816067,62.53727733
352.073029,14.031312,37.780983,6.966267667,11.30936067,9.074577,23.527437,62.68924833
352.439972,13.995033,37.75019367,6.927676,11.33333333,9.066985667,23.50498967,62.72599267
352.806824,14.01418133,37.72444167,6.864858,11.29352767,9.158558,23.486693,63.06016433
353.173676,13.959322,37.734857,6.881347667,11.190391,9.194135333,23.55357967,63.18329367
353.540466,14.024976,37.79464067,6.849938667,11.16646567,9.136417,23.52671233,63.34534467
353.907257,14.00942967,37.819631,6.835030333,11.10730633,9.151962,23.48863767,63.58926
354.273987,14.06128633,37.70598733,6.792698,11.158813,9.162852,23.44648467,63.821752
354.640747,14.07639067,37.61997067,6.774974333,11.11906167,9.132846667,23.45408167,63.904485
355.007446,14.107475,37.665591,6.802616333,11.15064333,9.115690667,23.48156367,64.11897633
355.374115,14.17328533,37.65244667,6.735781,11.19568733,9.182187333,23.55431533,64.29471467
355.740723,14.19642567,37.709653,6.681687,11.18848833,9.203899667,23.53545333,64.608522
356.1073,14.234992,37.68265667,6.718856667,11.17502467,9.190960333,23.56672533,64.81767533
356.473846,14.23065633,37.683259,6.803864333,11.17017033,9.182598333,23.61441233,65.106631
356.840393,14.29240367,37.67476933,6.821998333,11.210836,9.109144667,23.64210567,65.50597233
357.206879,14.37555933,37.58000167,6.786677667,11.262094,9.108337333,23.79503733,65.59124633
357.573364,14.42374033,37.557808,6.772250333,11.25906533,9.080328,23.82443367,65.884155
357.939789,14.482976,37.63168867,6.720805,11.29998433,9.125581,23.87778933,66.00350033
358.306213,14.568337,37.64723467,6.79661,11.316882,9.206166333,23.91414567,66.11901333
358.672577,14.63484567,37.687682,6.770942,11.365201,9.225175,23.93242767,66.27356833
359.03891,14.694089,37.738762,6.796707,11.37314233,9.254297333,24.037131,66.51535933
359.405212,14.74923033,37.74226767,6.81593,11.45643833,9.313288667,24.10276033,66.67398333
359.771484,14.813929,37.727403,6.814285,11.49887,9.356546667,24.22465567,66.93070467
360.137695,14.91860067,37.73534133,6.852119,11.55382033,9.404146667,24.350592,67.18375
360.503937,14.964004,37.74051033,6.877542333,11.630101,9.441513333,24.47177567,67.35437667
360.870148,15.06459867,37.695685,6.904311333,11.72651,9.47988,24.57681867,67.59005
361.236298,15.10091,37.67947767,6.940084,11.88425433,9.510524,24.68540467,67.775017
361.602417,15.248167,37.72415533,6.973425667,11.99284667,9.524706667,24.75999567,67.93029267
361.968475,15.36845567,37.78177767,7.011624333,12.090422,9.551979333,24.866642,68.016136
362.334503,15.45251567,37.79937467,7.030205333,12.185539,9.648231,25.00141467,68.193512
362.700562,15.61767867,37.82302,7.080512,12.23570533,9.739058,25.118462,68.278526
363.066528,15.749227,37.81538267,7.115189667,12.27632333,9.742477333,25.200686,68.41170233
363.432526,15.90514567,37.80117,7.138258667,12.38075967,9.761593667,25.37615567,68.36983267
