wl,PgBW8.W,PgBW10.W
322.250366,77.39440133,30.778274
322.619751,77.00526933,30.547247
322.989136,76.70321667,30.25774
323.35849,76.214541,30.08114467
323.727814,75.95206433,29.966629
324.097107,75.702342,29.80818467
324.466339,75.42524467,29.76625433
324.835541,74.942314,29.50339067
325.204712,74.616109,29.29524567
325.573914,74.394282,29.10591167
325.943024,74.303022,28.97141733
326.312164,73.97324367,28.887488
326.681244,73.42085533,28.765197
327.050262,73.224368,28.664155
327.41925,72.82475033,28.69177867
327.788239,72.654523,28.720169
328.157166,72.42221067,28.63207167
328.526123,72.210556,28.58030067
328.894989,72.00531,28.51168667
329.263885,71.53735867,28.45840133
329.63269,71.36325567,28.36657133
330.001495,71.19694267,28.28384667
330.37027,71.00462867,28.21966133
330.738983,70.68785867,28.209925
331.107697,70.595744,28.163527
331.476379,70.45732133,28.13790767
331.845032,70.32207233,28.09021267
332.213654,70.211764,27.97000933
332.582245,70.17419433,27.935854
332.950806,69.967224,28.01512967
333.319305,69.780688,28.081268
333.687775,69.412529,28.146932
334.056244,69.27643333,28.19086
334.424683,69.22846733,28.13675367
334.793091,69.15218867,28.13271067
335.161499,68.79714967,28.115213
335.529785,68.586662,28.176467
335.898132,68.572642,28.20292767
336.266388,68.27162667,28.2207
336.634613,68.21639767,28.15616467
337.002838,68.248586,28.120271
337.371033,68.16123433,28.186446
337.739197,68.02443733,28.31852
338.10733,67.90705867,28.42158633
338.475433,67.93457833,28.450669
338.843475,67.89226533,28.38526967
339.211517,67.62543233,28.37439033
339.579498,67.510086,28.50255167
339.947449,67.31417833,28.60868067
340.31543,67.16120933,28.77420233
340.683289,67.151904,28.79533333
341.051208,66.874176,28.90670167
341.419067,66.81526833,28.90616867
341.786865,66.70374967,28.92966433
342.154663,66.54813,29.04417567
342.522369,66.34946167,29.25926033
342.890076,66.39417267,29.375689
343.257813,66.21518333,29.406383
343.625458,65.97835567,29.52879267
343.993134,66.02517967,29.633221
344.360718,65.799123,29.75414333
344.728271,65.657126,29.97004833
345.095795,65.48303467,30.074201
345.463287,65.31978833,30.11123667
345.83075,65.15968433,30.21413367
346.198212,65.01671233,30.39436433
346.565613,64.76230133,30.56595533
346.933014,64.72917067,30.782327
347.300354,64.58115767,30.80881933
347.667694,64.45418167,30.95849467
348.034973,64.407487,31.10124667
348.402222,64.31931433,31.301316
348.769409,64.34050733,31.406089
349.136627,64.292376,31.70260167
349.503784,64.24270367,31.860246
349.870911,64.19807933,32.150407
350.238007,64.13727067,32.289294
350.605072,63.904447,32.48332667
350.972107,63.85725667,32.687309
351.339111,63.733541,32.86497167
351.706085,63.61664733,32.97628167
352.073029,63.62936367,33.210448
352.439972,63.46836467,33.49184033
352.806824,63.34319167,33.68824833
353.173676,63.29213467,33.86929367
353.540466,63.28284067,34.08172333
353.907257,63.20887767,34.267324
354.273987,63.06055833,34.50783667
354.640747,62.85559733,34.69530167
355.007446,62.739741,34.91829433
355.374115,62.577391,35.101256
355.740723,62.393356,35.30044033
356.1073,62.25046267,35.454444
356.473846,62.07248433,35.68134067
356.840393,62.039514,35.87226567
357.206879,61.864751,36.05234467
357.573364,61.66360867,36.21560533
357.939789,61.550121,36.36798867
358.306213,61.58518233,36.48525867
358.672577,61.41994467,36.646987
359.03891,61.37743267,36.79428033
359.405212,61.29950833,37.00618367
359.771484,61.132595,37.18069533
360.137695,61.095885,37.23921333
360.503937,61.07291267,37.41194667
360.870148,60.95559467,37.59988667
361.236298,60.90455,37.825559
361.602417,60.74120967,38.046833
361.968475,60.679239,38.23674167
362.334503,60.681975,38.46429933
362.700562,60.64853267,38.717809
363.066528,60.655304,38.91873267
363.432526,60.60792133,39.09704333
363.798431,60.57706067,39.32477567
364.164337,60.58693933,39.47628667
364.530182,60.45534133,39.589686
364.895996,60.36985033,39.82537833
365.26181,60.34124733,40.05926767
365.627563,60.22123833,40.37116
365.993286,60.06502933,40.744133
366.359009,59.979669,41.02394333
366.72467,59.946307,41.37005633
367.090302,59.728157,41.672901
367.455902,59.70933133,41.886275
367.821503,59.582451,42.163938
368.187012,59.48244833,42.382407
368.552521,59.43521967,42.65680467
368.917999,59.33442067,42.780571
369.283447,59.28289167,43.01166533
369.648865,59.269872,43.214873
370.014282,59.176023,43.39772033
370.379608,59.141472,43.51482533
370.744904,59.08544567,43.641926
371.110168,59.04636,43.852563
371.475403,58.86396667,44.034748
371.840637,58.78288267,44.14988433
372.205841,58.74263633,44.36402767
372.570984,58.740121,44.52456667
372.936127,58.73313133,44.549464
373.301208,58.73683933,44.76562767
373.66626,58.648567,44.888372
374.03125,58.66716233,45.00179667
374.39624,58.58515933,45.07627967
374.7612,58.495608,45.09583933
375.12616,58.46791067,45.107254
375.491028,58.459104,45.22314833
375.855927,58.35149667,45.272821
376.220734,58.26215767,45.33978533
376.585541,58.12104567,45.38953033
376.950287,58.07479467,45.43206667
377.315002,58.09715267,45.486023
377.679688,58.02880967,45.49481967
378.044373,57.893078,45.55027
378.408997,57.77886833,45.66781133
378.773621,57.745284,45.71140033
379.138184,57.68313367,45.722505
379.502716,57.61645633,45.82746533
379.867188,57.524493,45.84334533
380.231659,57.37280033,45.87152333
380.5961,57.30993133,46.01803867
380.96051,57.239049,45.91015133
381.324921,57.182112,45.85861967
381.68924,57.04881033,45.91168067
382.053528,56.94319667,45.96933
382.417816,56.92859767,46.12384433
382.782013,56.83428067,46.23903533
383.14621,56.70328,46.16686633
383.510406,56.76028167,46.266506
383.874542,56.80776833,46.24905667
384.238678,56.79162633,46.27535733
384.602753,56.78371167,46.23497167
384.966766,56.573832,46.30747233
385.33078,56.47755833,46.290835
385.694763,56.43200667,46.36789067
386.058685,56.369254,46.40381733
386.422607,56.31791933,46.373085
386.786499,56.259881,46.409139
387.15036,56.191672,46.41388967
387.51413,56.01284433,46.40423967
387.87793,56.01341133,46.37550467
388.241669,55.89918133,46.33132033
388.605377,55.80063233,46.35146567
388.969025,55.75339133,46.42032367
389.332703,55.76362833,46.38202067
389.69632,55.694139,46.345862
390.059875,55.57932167,46.32550533
390.423431,55.630568,46.38499967
390.786957,55.68147767,46.47010167
391.150421,55.56915033,46.483214
391.513855,55.428806,46.461483
391.877228,55.37316933,46.49264367
392.240631,55.23455067,46.480371
392.604004,55.21339667,46.446002
392.967316,55.17486167,46.52918967
393.330597,55.12879167,46.51722967
393.693848,55.17033133,46.52132167
394.057037,55.11031333,46.50441733
394.420197,55.19758233,46.56859067
394.783325,55.23170733,46.61392833
395.146484,55.25874333,46.68747333
395.509552,55.27356967,46.72070033
395.87262,55.25664133,46.80321
396.235596,55.260366,46.877177
396.598572,55.220908,46.87736767
396.961517,55.22081367,46.964892
397.324432,55.24905767,47.06502533
397.687286,55.24742233,47.101443
398.05014,55.175631,47.09236767
398.412964,55.08481367,47.10906567
398.775757,55.05728533,47.12703067
399.138489,55.20685333,47.17017333
399.50119,55.33148067,47.16961767
399.863861,55.42075367,47.24994933
400.226471,55.473896,47.22417833
400.589081,55.464502,47.13369
400.951691,55.56719067,47.096887
401.314209,55.428365,47.07872
401.676758,55.43649533,47.09618767
402.039185,55.33372467,47.02622467
402.401642,55.29412067,47.05941633
402.764038,55.29385,47.09576533
403.126404,55.20090467,47.13620533
403.488739,55.21366767,47.08491867
403.851074,55.127504,47.07608567
404.213348,55.14055367,47.09487167
404.575592,55.03324133,47.14269767
404.937775,54.907421,47.20722567
405.299927,54.91684433,47.25932467
405.662048,54.86440267,47.29428233
406.024139,54.84593333,47.27798333
406.3862,54.76210167,47.24118167
406.74826,54.55617533,47.288915
407.11026,54.502552,47.404428
407.47226,54.428482,47.37241867
407.834167,54.39276367,47.432557
408.196075,54.38877967,47.57925033
408.557892,54.22206467,47.62232567
408.919739,54.23379633,47.65178067
409.281494,54.19233833,47.745425
409.64328,54.199932,47.84443933
410.005035,54.13608167,47.86764267
410.36673,54.116709,47.912627
410.728394,54.15298733,47.891294
411.089966,54.16170133,47.99057767
411.451569,54.138424,48.01959467
411.813141,54.16932267,48.065572
412.174652,54.12005733,48.013847
412.536163,54.12340667,47.996933
412.897644,54.09215533,47.99419667
413.259033,54.02484633,47.97062667
413.620392,53.89710867,47.95982867
413.98172,53.859215,48.093928
414.343048,53.86929067,48.15729767
414.704315,53.78326933,48.18563833
415.065582,53.61142867,48.21715167
415.426788,53.518819,48.23835233
415.787994,53.43502433,48.15276367
416.149109,53.459076,48.08665833
416.510223,53.36526133,48.020593
416.871307,53.26256567,47.96107467
417.23233,53.150101,47.847027
417.593323,53.05612033,47.713651
417.954315,52.97074867,47.72602467
418.315247,52.87235633,47.67451067
418.676178,52.73035033,47.624466
419.037048,52.68350967,47.62389133
419.397858,52.60001633,47.59748967
419.758636,52.65375133,47.619118
420.119415,52.606996,47.61014067
420.480103,52.59065533,47.573381
420.840851,52.57211433,47.49018333
421.201477,52.56727367,47.51041133
421.562134,52.54355533,47.47322067
421.922729,52.570324,47.48308967
422.283264,52.499546,47.44257867
422.643799,52.586174,47.427189
423.004242,52.54414267,47.40140633
423.364685,52.50359333,47.44836533
423.725128,52.47124733,47.45184833
424.08551,52.51264333,47.488688
424.445892,52.49371833,47.493094
424.806183,52.494727,47.60275767
